ProviderName,PID,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County
Apex Secure Care Brownfield,37,1101 E LAKE ST,,BROWNFIELD,TX,79316,Terry
Arbor Grace Wellness Center,41,1241 E MARSHALL HOWARD BLVD,,LITTLEFIELD,TX,79339,Lamb
Arbor Terrace Healthcare Center,42,609 RIO CONCHO DR,,SAN ANGELO,TX,76903,Tom Green
Arboretum Nursing and Rehabilitation Center of Winnie,43,1215 STATE HIGHWAY 124,,WINNIE,TX,77665,Chambers
Arbrook Plaza,45,401 W ARBROOK BLVD,,ARLINGTON,TX,76014,Tarrant
Archer City Nursing Center,46,201 E CHESTNUT ST,,ARCHER CITY,TX,76351,Archer
Arlington Heights Health and Rehabilitation Center,47,4825 WELLESLEY AVE,,FORT WORTH,TX,76107,Tarrant
Arlington Residence and Rehabilitation Center,48,405 DUNCAN PERRY RD,,ARLINGTON,TX,76011,Tarrant
Arlington Villa Nursing Retirement Center,49,2601 W RANDOL MILL RD,,ARLINGTON,TX,76012,Tarrant
Army Residence Community Health Care Center,50,7400 CRESTWAY RD,,SAN ANTONIO,TX,78239,Bexar
Ashford Gardens,52,7210 NORTHLINE DR,,HOUSTON,TX,77076,Harris
Ashford Hall,53,2021 SHOAF DR,,IRVING,TX,75061,Dallas
Ashton Medical Lodge,54,801 S LOOP 250 W,,MIDLAND,TX,79703,
Ashton Park Care Center,55,210 GULF FWY,,TEXAS CITY,TX,77591,Galveston
Athens Healthcare and Rehabilitation,56,305 S PALESTINE ST,,ATHENS,TX,75751,Henderson
Austin Healthcare And Rehabilitation,59,3509 ROGGE LN,,AUSTIN,TX,78723,Travis
Austin Retirement and Nursing Center,60,6909 BURNET LN,,AUSTIN,TX,78757,Travis
AUSTIN WELLNESS AND REHABILITATION,61,11406 RUSTIC ROCK DR,,AUSTIN,TX,78750,Travis
Autumn Leaves,64,1010 EMERALD ISLE DR,,DALLAS,TX,75218,Dallas
Autumn Leaves Nursing and Rehabilitation,65,321 KILGORE DR,,HENDERSON,TX,75652,Rusk
Autumn Winds,66,3301 FARM RD 3009,,SCHERTZ,TX,78154,Guadalupe
Avalon Place Kirbyville,67,700 N HERNDON AVE,,KIRBYVILLE,TX,75956,Jasper
Avalon Place Trinity,68,808 S ROBB ST,,TRINITY,TX,75862,Trinity
Avalon Place Wharton,69,1405 VALHALLA DR,,WHARTON,TX,77488,Wharton
Avante Rehabilitation and Care Center,70,225 N SOWERS RD,,IRVING,TX,75061,Dallas
Azalea Trail Nursing and Rehabilitation Center,72,411 SPRINGCREEK RD,,GRAND SALINE,TX,75140,Van Zandt
Azle Manor Health Care and Rehabilitation,73,721 DUNAWAY LN,,AZLE,TX,76020,Tarrant
Balch Springs Health and Rehabilitation,74,4200 SHEPHERD LN,,MESQUITE,TX,75180,Dallas
Ballinger Healthcare and Rehabilitation Center,75,2001 N 6TH ST,,BALLINGER,TX,76821,Runnels
Bandera Nursing and Rehabilitation Center,77,222 FM 1077,,BANDERA,TX,78003,Bandera
Bangs Nursing and Rehabilitation Center,78,1105 E FITZGERALD ST,,BANGS,TX,76823,Brown
Bastrop Lost Pines Nursing and Rehabilitation Center,80,430 OLD AUSTIN HWY,,BASTROP,TX,78602,Bastrop
Bastrop Nursing Center,81,400 OLD AUSTIN HWY,,BASTROP,TX,78602,Bastrop
Bay Villa Healthcare Center,82,1800 13TH ST,,BAY CITY,TX,77414,Matagorda
Baybrooke Village Care and Rehabilitation Center,83,8300 ELDORADO PKWY,,MCKINNEY,TX,75070,Collin
Baylor Scott And White Continuing Care Hospital,84,546 N KEGLEY RD,,TEMPLE,TX,76502,Bell
Bayou Pines Care Center,90,4905 FLEMING ST,,LA MARQUE,TX,77568,Galveston
Baywind Village Skilled Nursing and Rehabilitation,92,411 ALABAMA AVE,,LEAGUE CITY,TX,77573,Galveston
Baywood Crossing Rehabilitation and Healthcare Center,93,5020 SPACE CENTER BLVD,,PASADENA,TX,77505,Harris
Beacon Harbor Healthcare and Rehabilitation,94,6700 HERITAGE PKWY,,ROCKWALL,TX,75087,Rockwall
Beacon Hill,95,3515 S PARK AVE,,DENISON,TX,75020,Grayson
Beaumont Health Care Center,96,795 LINDBERGH DR,,BEAUMONT,TX,77707,Jefferson
Beaumont Nursing and Rehabilitation,97,1175 DENTON ST,,BEAUMONT,TX,77707,Jefferson
Bedford Wellness And Rehabilitation,98,2001 FOREST RIDGE DR,,BEDFORD,TX,76021,Tarrant
Beechnut Manor,99,12777 BEECHNUT ST,,HOUSTON,TX,77072,Harris
Bel Air at Teravista,100,4105 TERAVISTA CLUB DR,,ROUND ROCK,TX,78665,Williamson
Bellville Medical Center,104,44 N CUMMINGS ST,,BELLVILLE,TX,77418,Austin
Belterra Health And Rehabilitation Center,105,2170 N LAKE FOREST DR,,MCKINNEY,TX,75071,Collin
Benbrook Nursing and Rehabilitation Center,107,1000 MCKINLEY ST,,BENBROOK,TX,76126,Tarrant
Bertram Nursing and Rehab Center,108,540 E STATE HIGHWAY 29,,BERTRAM,TX,78605,Burnet
Big Bend Regional Medical Center,109,2600 N STATE HIGHWAY 118,,ALPINE,TX,79830,Brewster
Big Spring Center For Skilled Care,111,3701 WASSON RD,,BIG SPRING,TX,79720,Howard
"Birchwood Nursing and Rehabilitation, LP",112,110 HIGHWAY 64 W,,COOPER,TX,75432,Delta
Bishop Davies Nursing Center,114,2712 HURSTVIEW DR,,HURST,TX,76054,Tarrant
Bivins Pointe,115,6600 KILLGORE DR,,AMARILLO,TX,79106,Potter
Blanco Villa Nursing and Rehabilitation,116,8020 BLANCO RD,,SAN ANTONIO,TX,78216,Bexar
Blue Skies of Texas East,117,4917 RAVENSWOOD DR,,SAN ANTONIO,TX,78227,Bexar
Blue Skies of Texas West,118,5100 JOHN D RYAN BLVD,,SAN ANTONIO,TX,78245,Bexar
Bluebonnet Nursing And Rehabilitation,119,696 FM 99,,KARNES CITY,TX,78118,Karnes
"Bonham Nursing and Rehabilitation, LP",121,709 W 5TH ST,,BONHAM,TX,75418,Fannin
BONNE VIE,122,8595 MEDICAL CENTER BLVD,,PORT ARTHUR,TX,77640,
Bonner Street Plaza Healthcare and Rehabilitation,123,421 S BONNER ST,,JACKSONVILLE,TX,75766,Cherokee
Borger Healthcare Center,124,1316 S FLORIDA ST,,BORGER,TX,79007,Hutchinson
Brady West Rehabilitation and Nursing Center,126,2201 MENARD HWY,,BRADY,TX,76825,McCulloch
Brazos at Waco,127,2430 MARKET PLACE DR,,WACO,TX,76711,
Brazos Towers At Bayou Manor,128,4141 S BRAESWOOD BLVD,,HOUSTON,TX,77025,Harris
Brazos Valley Care Homebrazos Valley Nursing And Rehabilitation Center,129,605 S AVENUE F,,KNOX CITY,TX,79529,Knox
Brazosview Healthcare Center,131,2127 PRESTON ST,,RICHMOND,TX,77469,Fort Bend
Bremond Nursing and Rehabilitation Center,132,211 N MAIN ST,,BREMOND,TX,76629,Robertson
Brenham Nursing and Rehabilitation Center,133,400 E SAYLES ST,,BRENHAM,TX,77833,Washington
Brentwood Place I,136,35052 S BUCKNER BLVD,,DALLAS,TX,75227,Dallas
Brentwood Place II,137,8059 SCYENE CIR,,DALLAS,TX,75227,Dallas
Brentwood Terrace Healthcare And Rehabilitation Center,139,2885 STILLHOUSE RD,,PARIS,TX,75462,Lamar
Briarcliff Health Center,140,3403 S VINE AVE,,TYLER,TX,75701,Smith
"Briarcliff Health Center of Greenville, Inc",141,4400 WALNUT ST,,GREENVILLE,TX,75401,Hunt
Briarcliff Nursing and Rehabilitation Center,142,3201 N WARE RD,,MCALLEN,TX,78501,Hidalgo
Briarcliff Skilled Nursing Center,143,4054 NW LOOP,,CARTHAGE,TX,75633,Panola
Briarwood Nursing And Rehabilitation,145,7633 BELLFORT ST,,HOUSTON,TX,77061,Harris
Bridgemoor Transitional Care of Round Rock,148,16219 RANCH ROAD 620 N,,AUSTIN,TX,78717,
Bridgemoor Transitional Care San Antonio,149,6035 ECKHERT RD,,SAN ANTONIO,TX,78229,
BRIDGEMOOR TRANSITIONAL CARE WEBSTER,150,16130 GALVESTON RD,,WEBSTER,TX,77598,
Brightpointe At Lytle Lake,151,1201 CLARKS DR,,ABILENE,TX,79602,Taylor
BrightPointe at Rivershire,152,604 CONROE MEDICAL DR,,CONROE,TX,77304,Montgomery
Broadmoor Medical Lodge,155,5242 MEDICAL DR,,ROCKWALL,TX,75032,Rockwall
Brodie Ranch Nursing And Rehabilitation Center,156,2101 FRATE BARKER RD,,AUSTIN,TX,78748,Travis
Bronte Health and Rehabilitation Center,157,900 S STATE ST,,BRONTE,TX,76933,Coke
Brookdale Alamo Heights,158,855 E BASSE RD,,SAN ANTONIO,TX,78209,Bexar
BROOKDALE BROADWAY CITYVIEW,159,5301 BRYANT IRVIN RD,,FORT WORTH,TX,76132,Tarrant
Brookdale Galleria,160,2929 POST OAK BLVD,,HOUSTON,TX,77056,Harris
Brookdale Guadalupe River Plaza,161,808 GUADALUPE ST,,KERRVILLE,TX,78028,Kerr
Brookdale Guadalupe River Plaza,162,135 PLAZA DR,,KERRVILLE,TX,78028,
Brookdale Lakeway Healthcare Center,163,1917 LOHMANS CROSSING RD,,LAKEWAY,TX,78734,Travis
Brookdale Spicewood Springs,164,4401 SPICEWOOD SPRINGS RD,,AUSTIN,TX,78759,Travis
Brookdale Trinity Towers,165,101 N UPPER BROADWAY ST,,CORPUS CHRISTI,TX,78401,Nueces
Brookdale Westlake Hills,166,1034 LIBERTY PARK DR,,AUSTIN,TX,78746,Travis
Brookdale Willowbrook Place,167,7450 WILLOWCHASE BLVD,,HOUSTON,TX,77070,
Brookdale Willowbrook Place Skilled Nursing,168,13500 BRETON RIDGE ST,,HOUSTON,TX,77070,Harris
Brookhaven Nursing and Rehabilitation Center,169,1855 CHEYENNE DR,,CARROLLTON,TX,75010,Denton
Brookhollow Heights Transitional Care Center,170,1737 NORTH LOOP W,,HOUSTON,TX,77008,Harris
Brownfield Regional Medical Center,172,705 E FELT ST,,BROWNFIELD,TX,79316,Terry
Brownfield Rehabilitation and Care Center,173,510 S 1ST ST,,BROWNFIELD,TX,79316,Terry
Brownsville Nursing and Rehabilitation Center,174,320 LORENALY DR,,BROWNSVILLE,TX,78526,Cameron
"Brownwood Nursing and Rehabilitation, LP",175,101 MILLER DR,,BROWNWOOD,TX,76801,Brown
Brush Country Nursing And Rehabilitation,178,6500 BRUSH COUNTRY RD,,AUSTIN,TX,78749,Travis
Buckner Villas,183,11110 TOM ADAMS DR,,AUSTIN,TX,78753,Travis
Buckner Westminister Place,184,2201 HORSESHOE LN,,LONGVIEW,TX,75605,Gregg
Buena Vida Nursing And Rehabilitation Center,185,5027 PECAN GROVE BLVD,,SAN ANTONIO,TX,78222,Bexar
Buena Vida Nursing and Rehabilitation Center at Odessa,186,3800 ENGLEWOOD LN,,ODESSA,TX,79762,Ector
Burleson Saint Joseph Manor,188,1022 STATE HIGHWAY 21 E,,CALDWELL,TX,77836,Burleson
Calder Woods,190,7080 CALDER AVE,,BEAUMONT,TX,77706,Jefferson
Cambridge Health and Rehabilitation Center,192,1106 GOLFVIEW DR,,RICHMOND,TX,77469,Fort Bend
Cameron Nursing and Rehabilitation Center,193,2202 N TRAVIS AVE,,CAMERON,TX,76520,Milam
Canton Oaks,195,1901 S TRADE DAYS BLVD,,CANTON,TX,75103,Van Zandt
Caprock Nursing and Rehabilitation Center,199,900 COLLEGE AVE,,BORGER,TX,79007,Hutchinson
Capstone Healthcare Estates At Veterans Memorial,200,1424 FALLBROOK DR,,HOUSTON,TX,77038,Harris
Capstone Healthcare Estates on Orem,201,3730 W OREM DR,,HOUSTON,TX,77045,Harris
CARADAY WESTERN HILLS,202,512 DRAPER DR,,TEMPLE,TX,76504,Bell
Care Choice Of Boerne,204,200 RYAN ST,,BOERNE,TX,78006,Kendall
Care Inn of La Grange,206,457 N MAIN ST,,LA GRANGE,TX,78945,Fayette
Care Nursing and Rehabilitation Center,209,200 COUNTY ROAD 616,,EARLY,TX,76802,Brown
Carillon House,211,1717 NORFOLK AVE,,LUBBOCK,TX,79416,Lubbock
Carrara,213,4501 TRADITION TRL,,PLANO,TX,75093,Collin
Carriage House Manor,214,210 PIPELINE RD,,SULPHUR SPRINGS,TX,75482,Hopkins
"Carrizo Springs Nursing and Rehabilitation, LP",215,506 S 7TH ST,,CARRIZO SPRINGS,TX,78834,Dimmit
Carrollton Health And Rehabilitation Center,216,1618 KIRBY RD,,CARROLLTON,TX,75006,Dallas
Carthage Healthcare Center,218,701 S MARKET ST,,CARTHAGE,TX,75633,Panola
Castle Pines Health and Rehabilitation Center,220,2414 W FRANK AVE,,LUFKIN,TX,75904,Angelina
CC Young Retirement Community,225,4829 W LAWTHER DR,,DALLAS,TX,75214,Dallas
Cedar Creek Nursing and Rehabilitation Center,226,159 MONTAGUE AVE,,BANDERA,TX,78003,Bandera
Cedar Hill Healthcare Center,229,230 S CLARK RD,,CEDAR HILL,TX,75104,Dallas
Cedar Lake Nursing Home,231,1611 W ROYALL BLVD,,MALAKOFF,TX,75148,Henderson
Cedar Pointe Health and Wellness Suites,233,1301 COTTONWOOD CREEK TRL,,CEDAR PARK,TX,78613,
Centerville Healthcare Center,234,103 TEAKWOOD,,CENTERVILLE,TX,75833,Leon
Central Texas Nursing and Rehabilitation,237,1800 N BROADWAY ST,,BALLINGER,TX,76821,Runnels
Chandler Nursing Center,239,300 CHERRY ST,,CHANDLER,TX,75758,Henderson
Chelsea Gardens,241,4422 RIVERSTONE BLVD,,MISSOURI CITY,TX,77459,Fort Bend
Cherokee Rose Nursing and Rehabilitation,242,203 E GIBBS BLVD,,GLEN ROSE,TX,76043,Somervell
Cherokee Trails Rehab and Healthcare,243,330 BAGLEY RD,,RUSK,TX,75785,Cherokee
Cheyenne Medical Lodge,244,750 HIGHWAY 352,,MESQUITE,TX,75149,
Chi Saint Joseph Health Burleson Hospital,245,1101 WOODSON DR,,CALDWELL,TX,77836,Burleson
Chi Saint Joseph Health Grimes Hospital,246,210 S JUDSON ST,,NAVASOTA,TX,77868,Grimes
CHI Saint Joseph Skilled and Rehabilitation Center,247,2333 MANOR DR,,BRYAN,TX,77802,Brazos
Childress Healthcare Center,249,1200 7TH ST NW,,CHILDRESS,TX,79201,Childress
Childress Regional Medical Center,250,901 US HIGHWAY 83 N,,CHILDRESS,TX,79201,Childress
Chisolm Trail Nursing And Rehabilitation Center,252,107 N MEDINA ST,,LOCKHART,TX,78644,Caldwell
Christian Care Center,253,1008 CITIZENS TRL,,TEXARKANA,TX,75501,Bowie
Christian Care Nursing And Rehabilitation,254,1000 WIGGINS PKWY,,MESQUITE,TX,75150,Dallas
CHRISTUS Jasper Memorial Hospital,255,1275 MARVIN HANCOCK DR,,JASPER,TX,75951,Jasper
Christus Mother Frances Hospital - Winnsboro,256,719 W COKE RD,,WINNSBORO,TX,75494,Wood
Christus Mother Frances Hospital Jacksonville,257,2026 S JACKSON ST,,JACKSONVILLE,TX,75766,Cherokee
CHRISTUS Spohn Hospital Corpus Christi Memorial,262,2606 HOSPITAL BLVD,,CORPUS CHRISTI,TX,78405,Nueces
CHRISTUS Spohn Hospital Corpus Christi Shoreline,263,600 ELIZABETH ST,,CORPUS CHRISTI,TX,78404,Nueces
Cibolo Creek,267,1440 RIVER RD,,BOERNE,TX,78006,Kendall
CIMARRON PARK NURSING AND REHABILITATION CENTER,268,7441 PASEO DEL NORTE,,EL PASO,TX,79911,
Cimarron Place Health and Rehabilitation Center,269,3801 CIMARRON BLVD,,CORPUS CHRISTI,TX,78414,Nueces
Cisco Nursing And Rehabilitation,270,1404 FRONT ST,,CISCO,TX,76437,Eastland
Citizens Medical Center Skilled Nursing Unit,271,2701 HOSPITAL DR,,VICTORIA,TX,77901,Victoria
Cityview Nursing And Rehabilitation Center,272,5801 BRYANT IRVIN RD,,FORT WORTH,TX,76132,Tarrant
Clairmont of Beaumont,273,1020 S 23RD ST,,BEAUMONT,TX,77707,Jefferson
Clarewood House,274,7400 CLAREWOOD DR,,HOUSTON,TX,77036,Harris
Clarksville Nursing Center,275,300 E BAKER ST,,CLARKSVILLE,TX,75426,Red River
Clay County Memorial Hospital,276,310 W SOUTH ST,,HENRIETTA,TX,76365,Clay
Clear Brook Crossing Rehabilitation and Healthcare Center,278,10800 FLORA MAE MEADOWS RD,,HOUSTON,TX,77089,Harris
Cleveland Health Care Center,280,903 E HOUSTON ST,,CLEVELAND,TX,77327,Liberty
"Clifton Nursing and Rehabilitation Center, LP",281,1000 FM 3220,,CLIFTON,TX,76634,Bosque
Clyde Nursing Center,282,806 STEPHENS ST,,CLYDE,TX,79510,Callahan
Clyde W Cosper Texas State Veterans Home,283,1300 SEVEN OAKS RD,,BONHAM,TX,75418,Fannin
Coastal Palms Nursing And Rehabilitation,284,221 CEDAR DR,,PORTLAND,TX,78374,San Patricio
Cogdell Memorial Hospital,285,1700 COGDELL BLVD,,SNYDER,TX,79549,Scurry
Coleman County Medical Center,288,310 S PECOS ST,,COLEMAN,TX,76834,Coleman
Coleman Healthcare Center,289,2713 S COMMERCIAL AVE,,COLEMAN,TX,76834,Coleman
College Park Rehabilitation and Care Center,290,1715 MARTIN DR,,WEATHERFORD,TX,76086,Parker
College Street Nursing Center,291,4150 COLLEGE ST,,BEAUMONT,TX,77707,Jefferson
Collingsworth General Hospital,292,1013 15TH ST,,WELLINGTON,TX,79095,Collingsworth
Collinwood Nursing And Rehabilitation,293,3100 S RIGSBEE DR,,PLANO,TX,75074,Collin
Colonial Belle Nursing Home,294,106 N BARON ST,,BELLVILLE,TX,77418,Austin
Colonial Belle Nursing Home Sealy,295,1401 EAGLE LAKE RD,,SEALY,TX,77474,Austin
Colonial Care Center,296,507 WEST AVE,,SCHULENBURG,TX,78956,Fayette
Colonial Manor Advanced Rehab and Healthcare,298,1100 W MINNESOTA RD,,PHARR,TX,78577,Hidalgo
Colonial Manor Nursing And Rehabilitation Center,299,821 US HWY 81,,NEW BRAUNFELS,TX,78130,Comal
Colonial Manor Nursing Center,300,2035 GRANBURY ST,,CLEBURNE,TX,76033,Johnson
Colonial Nursing and Rehabilitation Center,301,508 PIERCE ST,,LINDALE,TX,75771,Smith
Colonial Pines Healthcare Center,306,1203 FARM RD 1277,,SAN AUGUSTINE,TX,75972,San Augustine
Columbus Community Hospital,309,110 SHULT DR,,COLUMBUS,TX,78934,Colorado
Columbus Oaks Healthcare Community,311,300 NORTH ST,,COLUMBUS,TX,78934,Colorado
Comanche County Medical Center,312,10201 HIGHWAY 16,,COMANCHE,TX,76442,Comanche
Community Care Center,313,1150 E LOOP 304,,CROCKETT,TX,75835,Houston
Community Care Center Of Hondo,315,2001 AVENUE E,,HONDO,TX,78861,Medina
Concho County Hospital,317,614 EAKER ST,,EDEN,TX,76837,Concho
Concho Health and Rehabilitation Center,318,613 EAKER ST,,EDEN,TX,76837,Concho
Conroe Healthcare Center,320,2019 N FRAZIER ST,,CONROE,TX,77301,Montgomery
Continuing Care At Highland Springs,321,7910 FRANKFORD RD,,DALLAS,TX,75252,Dallas
Coon Memorial Hospital,324,1411 DENVER AVE,,DALHART,TX,79022,Dallam
Copperas Cove Nursing and Rehabilitation,328,607 W AVENUE B,,COPPERAS COVE,TX,76522,Coryell
Copperas Hollow Nursing and Rehabilitation Center,329,345 COUNTRY CLUB DR,,CALDWELL,TX,77836,Burleson
Copperfield Healthcare and Rehabilitation,330,7107 QUEENSTON BLVD,,HOUSTON,TX,77095,Harris
Corinth Rehabilitation Suites on the Parkway,331,3511 CORINTH PKWY,,DENTON,TX,76208,Denton
Cornerstone Gardens Healthcare and Rehabilitation,332,763 MARLANDWOOD RD,,TEMPLE,TX,76502,Bell
Cornerstone Retirement Community,333,4100 MOORES LN,,TEXARKANA,TX,75503,Bowie
Coronado at Stone Oak,334,19638 STONE OAK PKWY,,SAN ANTONIO,TX,78258,Bexar
Coronado Healthcare Center,335,1504 W KENTUCKY AVE,,PAMPA,TX,79065,Gray
Coronado Nursing And Rehab,336,1751 N 15TH ST,,ABILENE,TX,79603,Taylor
Corpus Christi Nursing and Rehabilitation Center,341,2735 AIRLINE RD,,CORPUS CHRISTI,TX,78414,Nueces
Corrigan LTC Nursing and Rehabilitation Center,342,300 HYDE ST,,CORRIGAN,TX,75939,Polk
Coryell Memorial Healthcare System,343,1507 W MAIN ST,,GATESVILLE,TX,76528,Coryell
Cottonwood Creek Healthcare Community,344,1111 W SHORE DR,,RICHARDSON,TX,75080,Dallas
"Cottonwood Nursing and Rehabilitation, LP",346,2224 N CARROLL BLVD,,DENTON,TX,76201,Denton
Country Care Manor,347,2736 FARM RD 775,,LA VERNIA,TX,78121,Wilson
"Country Club Nursing and Rehabilitation, LP",348,9 MEDICAL DR,,AMARILLO,TX,79106,Potter
Country Meadows Nursing and Rehabilitation Center,350,3301 W PARK ROW BLVD,,CORSICANA,TX,75110,Navarro
Country View Nursing And Rehabilitation,353,1900 N FRANCES ST,,TERRELL,TX,75160,Kaufman
Country Village Care,354,721 W MULBERRY ST,,ANGLETON,TX,77515,Brazoria
"Countryside Nursing and Rehabilitation, LP",355,1700 N WASHINGTON ST,,PILOT POINT,TX,76258,Denton
Courtyard Nursing And Rehabilitation Center,357,7499 STANWICK DR,,HOUSTON,TX,77087,Harris
Covenant Hospital Plainview,361,2601 DIMMITT RD,,PLAINVIEW,TX,79072,Hale
Crane Memorial Hospital,363,1310 S ALFORD ST,,CRANE,TX,79731,Crane
Creekside Terrace Rehabilitation,365,1555 POWELL AVE,,BELTON,TX,76513,Bell
Creekside Village Healthcare,366,914 BRAZOSPORT BLVD N,,RICHWOOD,TX,77531,Brazoria
Crestview Court,367,224 W PLEASANT RUN RD,,CEDAR HILL,TX,75104,Dallas
"Crestview Healthcare Residence, Ltd",368,1400 LAKE SHORE DR,,WACO,TX,76708,McLennan
Crestview Manor Nursing and Rehabilitation Center,369,1103 MARY JANE ST,,BELTON,TX,76513,Bell
Crestview Retirement Community,370,2505 E VILLA MARIA RD,,BRYAN,TX,77802,Brazos
Crestwood Health and Rehab,371,1448 HOUSTON ST,,WILLS POINT,TX,75169,Van Zandt
CRIMSON HEIGHTS HEALTH and WELLNESS,372,19279 MCKAY DR,,HUMBLE,TX,77338,
Crosbyton Nursing and Rehabilitation Center,376,222 N FARMER ST,,CROSBYTON,TX,79322,Crosby
Cross Timbers Rehabilitation and Healthcare Center,378,3315 CROSS TIMBERS RD,,FLOWER MOUND,TX,75028,Denton
Crossroads Nursing And Rehabilitation,380,611 ROSE MARIE BLVD,,HEARNE,TX,77859,Robertson
Crowell Nursing Center,381,200 S B AVE,,CROWELL,TX,79227,Foard
Crown Point Health Suites,382,6640 IOLA AVE,,LUBBOCK,TX,79424,Lubbock
Crystal Creek Preston Hollow,383,11409 N CENTRAL EXPY,,DALLAS,TX,75243,Dallas
Cuero Partners,384,1310 E BROADWAY ST,,CUERO,TX,77954,DeWitt
Cypress Creek Rehabilitation and Healthcare Center,386,13600 BIRDCALL LN,,CYPRESS,TX,77429,
Cypress Woods Care Center,389,135 1 2 E HOSPITAL DR,,ANGLETON,TX,77515,Brazoria
Cypresswood Health and Rehabilitation Center,390,10851 CRESCENT MOON DR,,HOUSTON,TX,77064,Harris
Deer Creek of Wimberley Nursing Center,394,555 FM 3237,,WIMBERLEY,TX,78676,Hays
Deerbrook Skilled Nursing And Rehabilitation,395,9250 FM 1960 RD W,,HUMBLE,TX,77338,Harris
"Deerings Nursing and Rehabilitation, LP",396,1020 W COUNTY RD N,,ODESSA,TX,79763,Ector
Del Rio Nursing and Rehabilitation Center,397,301 W MARTIN ST,,DEL RIO,TX,78840,Val Verde
"DeLeon Nursing and Rehabilitation, LP",398,809 E NAVARRO AVE,,DE LEON,TX,76444,Comanche
"Denison Nursing and Rehabilitation, LP",399,601 E US HIGHWAY 69,,DENISON,TX,75021,Grayson
Denton Rehabilitation and Nursing Center,400,2229 N CARROLL BLVD,,DENTON,TX,76201,Denton
Desoto Nursing And Rehabilitation,403,1101 N HAMPTON RD,,DESOTO,TX,75115,Dallas
Devine Health and Rehabilitation,406,104 ENTERPRISE AVE,,DEVINE,TX,78016,Medina
Dfw Nursing And Rehabilitation,407,900 W LEUDA ST,,FORT WORTH,TX,76104,Tarrant
Dimmit Regional Hospital,408,704 HOSPITAL DR,,CARRIZO SPRINGS,TX,78834,Dimmit
Diversicare of Lake Highlands,409,9009 WHITE ROCK TRL,,DALLAS,TX,75238,Dallas
Diversicare of Luling,410,208 MAPLE ST,,LULING,TX,78648,Caldwell
Dogwood Trails Manor,415,647 US HIGHWAY 190 W,,WOODVILLE,TX,75979,Tyler
Dovehill Healthcare Center and Villas,416,1315 E STATE HIGHWAY 22,,HAMILTON,TX,76531,Hamilton
Downtown Health and Rehabilitation Center,417,424 S ADAMS ST,,FORT WORTH,TX,76104,Tarrant
Duncanville Healthcare and Rehabilitation Center,418,419 S COCKRELL HILL RD,,DUNCANVILLE,TX,75116,Dallas
Eagle Lake Nursing And Rehabilitation,419,535 S AUSTIN RD,,EAGLE LAKE,TX,77434,Colorado
Eagle Pass Nursing and Rehabilitation,421,2550 ZACATECAS DR,,EAGLE PASS,TX,78852,Maverick
Eagles Trace,422,14703 EAGLE VISTA DR,,HOUSTON,TX,77077,Harris
