county_name,patient_number_year,num_CC,#snf,CC_hired
Lamar,238,0.45014423076923077,5,1.0
Lamb,21,0.04367788461538461,3,1.0
Lampasas,39,0.09473557692307692,3,1.0
Lavaca,46,0.1071153846153846,8,1.0
Lee,8,0.0178525641025641,2,1.0
Leon,7,0.017139423076923076,1,1.0
Liberty,208,0.46886217948717945,5,1.0
Limestone,81,0.18963942307692308,7,1.0
Live Oak,21,0.0482451923076923,1,1.0
Llano,39,0.09050480769230769,2,1.0
Lubbock,440,0.9109615384615385,12,1.0
Lynn,21,0.03439903846153846,1,1.0
Madison,65,0.14178685897435897,2,1.0
Marion,18,0.04543269230769231,2,1.0
Martin,3,0.005985576923076922,1,1.0
Matagorda,81,0.1880528846153846,4,1.0
Maverick,90,0.20600961538461537,2,1.0
McCulloch,3,0.008629807692307692,1,1.0
McLennan,491,1.1707612179487181,16,2.0
Medina,42,0.0957371794871795,5,1.0
Menard,2,0.005576923076923077,1,1.0
Midland,95,0.2323798076923077,5,1.0
Milam,10,0.021009615384615384,3,1.0
Mills,5,0.0115625,1,1.0
Mitchell,2,0.0034615384615384608,1,1.0
Montague,45,0.10512019230769232,2,1.0
Montgomery,840,1.8815384615384614,10,2.0
Moore,7,0.014959935897435897,2,1.0
Morris,8,0.019150641025641027,1,1.0
Nacogdoches,412,0.7751121794871795,7,1.0
Navarro,85,0.2028445512820513,5,1.0
Newton,4,0.010096153846153848,1,1.0
Nolan,18,0.042259615384615375,2,1.0
Nueces,301,0.7172195512820514,17,1.0
Ochiltree,2,0.003990384615384615,1,1.0
Orange,85,0.21220352564102563,3,1.0
Palo Pinto,96,0.2311378205128205,3,1.0
Panola,68,0.16290064102564103,3,1.0
Parker,479,1.0870753205128205,8,2.0
Parmer,12,0.01889423076923077,2,1.0
Pecos,15,0.027812500000000004,2,1.0
Polk,246,0.5202884615384615,4,1.0
Potter,172,0.4050480769230769,8,1.0
Rains,10,0.026826923076923075,1,1.0
Randall,98,0.22620192307692305,3,1.0
Red River,77,0.12697916666666667,2,1.0
Reeves,2,0.004519230769230768,1,1.0
Refugio,4,0.011682692307692307,1,1.0
Robertson,24,0.04629807692307692,3,1.0
Rockwall,324,0.7112499999999999,6,1.0
Runnels,11,0.024062499999999994,3,1.0
Rusk,81,0.19193108974358974,3,1.0
Sabine,18,0.04068910256410257,2,1.0
San Augustine,99,0.24649839743589744,3,1.0
San Jacinto,51,0.10066506410256412,1,1.0
San Patricio,39,0.09814903846153847,2,1.0
Scurry,23,0.03742788461538461,3,1.0
Shelby,124,0.23221153846153847,3,1.0
Smith,976,2.2576442307692304,16,3.0
Somervell,63,0.15635416666666668,2,1.0
Starr,89,0.19388621794871796,2,1.0
Stephens,14,0.031618589743589734,2,1.0
Sterling,9,0.02112980769230769,1,1.0
Stonewall,7,0.007331730769230768,1,1.0
Swisher,12,0.02274038461538462,2,1.0
Tarrant,2411,5.702812499999999,74,6.0
Taylor,121,0.27337339743589745,10,1.0
Terry,13,0.02911057692307692,3,1.0
Titus,69,0.16141826923076924,3,1.0
Tom Green,188,0.4412019230769231,6,1.0
Travis,686,1.3846634615384614,29,2.0
Trinity,60,0.17939102564102566,3,1.0
Tyler,55,0.11693108974358975,2,1.0
Upshur,56,0.12291666666666667,2,1.0
Upton,1,0.0014663461538461538,1,1.0
Uvalde,78,0.19349358974358974,3,1.0
Val Verde,95,0.2288541666666667,3,1.0
Van Zandt,140,0.3303044871794871,5,1.0
Victoria,125,0.29859775641025643,5,1.0
Walker,120,0.333076923076923,3,1.0
Waller,1,0.003581730769230769,1,1.0
Ward,17,0.0355048076923077,2,1.0
Washington,98,0.2478846153846154,4,1.0
Webb,97,0.1963541666666667,5,1.0
Wharton,90,0.22610576923076925,4,1.0
Wheeler,7,0.0203125,2,1.0
Wichita,351,0.8227804487179486,14,1.0
Wilbarger,14,0.04115384615384616,2,1.0
Willacy,41,0.07499198717948717,1,1.0
Williamson,350,0.6986858974358974,16,1.0
Wilson,50,0.09411858974358975,5,1.0
Winkler,5,0.0115625,1,1.0
Wise,128,0.32828525641025635,3,1.0
Wood,21,0.042668269230769225,4,1.0
Yoakum,8,0.018605769230769228,2,1.0
Young,43,0.10430288461538463,4,1.0
Zapata,1,0.002524038461538461,1,1.0
