PID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,lat,lng,county_name
90,4,4,6,6,4,3,4,5,4,4,2,3,Bayou Pines Care Center,29.36383,-94.97975,Galveston
92,18,14,17,18,30,11,13,17,17,20,24,23,Baywind Village Skilled Nursing and Rehabilitation,29.50205,-95.08652,Galveston
93,2,5,2,2,5,2,1,1,2,2,2,4,Baywood Crossing Rehabilitation and Healthcare Center,29.64608,-95.13826,Harris
94,1,8,4,9,9,15,6,11,5,4,4,3,Beacon Harbor Healthcare and Rehabilitation,32.941720000000004,-96.44993,Rockwall
95,15,9,15,9,14,7,10,16,7,12,8,7,Beacon Hill,33.77167,-96.60413,Grayson
96,7,2,1,2,6,6,1,5,3,5,2,4,Beaumont Health Care Center,30.05295,-94.17654,Jefferson
97,0,0,0,1,0,1,1,1,0,0,0,0,Beaumont Nursing and Rehabilitation,30.05295,-94.17654,Jefferson
98,5,6,5,4,1,3,3,4,2,1,1,0,Bedford Wellness And Rehabilitation,32.85231,-97.13119,Tarrant
99,6,2,3,2,1,1,4,3,3,4,3,3,Beechnut Manor,29.69962,-95.58504,Harris
100,14,8,11,3,5,4,8,5,7,6,5,10,Bel Air at Teravista,30.54489,-97.64379,Williamson
104,1,1,2,0,0,0,0,0,0,0,0,0,Bellville Medical Center,29.978790000000004,-96.25057,Austin
105,5,6,9,9,9,8,14,12,10,7,7,4,Belterra Health And Rehabilitation Center,33.24664,-96.62898,Collin
107,1,0,0,1,0,0,0,0,0,0,0,0,Benbrook Nursing and Rehabilitation Center,32.63383,-97.51234,Tarrant
108,0,0,0,0,0,1,0,0,1,0,0,0,Bertram Nursing and Rehab Center,30.782190000000003,-98.04562,Burnet
109,2,0,0,1,0,1,0,0,0,0,1,1,Big Bend Regional Medical Center,29.80008,-103.22466,Brewster
111,1,0,0,1,1,2,1,1,0,1,4,0,Big Spring Center For Skilled Care,32.253640000000004,-101.47291,Howard
112,0,0,0,0,0,0,2,0,1,0,0,1,"Birchwood Nursing and Rehabilitation, LP",33.39603,-95.67444,Delta
114,3,3,4,7,3,2,3,7,3,4,4,3,Bishop Davies Nursing Center,32.85918,-97.17782,Tarrant
115,6,3,8,6,9,4,8,4,6,4,7,5,Bivins Pointe,35.20318,-101.89519,Potter
116,0,0,2,2,1,1,1,1,0,0,0,0,Blanco Villa Nursing and Rehabilitation,29.53646,-98.4892,Bexar
117,1,0,1,1,1,0,1,0,1,2,1,0,Blue Skies of Texas East,29.40626,-98.62941,Bexar
118,0,1,0,1,0,1,0,1,0,1,0,1,Blue Skies of Texas West,29.40396,-98.73079,Bexar
119,0,1,1,0,0,0,0,0,0,0,1,1,Bluebonnet Nursing And Rehabilitation,28.88645,-97.95035,Karnes
121,1,1,1,1,0,0,1,1,1,0,0,0,"Bonham Nursing and Rehabilitation, LP",33.57268,-96.17766,Fannin
122,17,25,31,29,32,23,16,26,9,8,4,8,BONNE VIE,29.88111,-93.94104,Jefferson
123,3,1,1,0,1,0,0,0,1,0,0,0,Bonner Street Plaza Healthcare and Rehabilitation,31.9462,-95.25704,Cherokee
124,2,2,2,0,0,0,0,0,0,1,0,0,Borger Healthcare Center,35.69979,-101.39788,Hutchinson
126,0,1,0,0,1,0,0,0,0,1,0,0,Brady West Rehabilitation and Nursing Center,31.104740000000003,-99.39545,McCulloch
127,1,0,0,0,1,0,0,0,0,0,0,0,Brazos at Waco,31.51441,-97.15333,McLennan
128,1,1,1,3,0,0,4,3,1,0,1,1,Brazos Towers At Bayou Manor,29.68661,-95.43499,Harris
129,0,0,0,1,1,0,0,0,0,0,0,1,Brazos Valley Care Homebrazos Valley Nursing And Rehabilitation Center,33.43853,-99.8473,Knox
131,1,0,0,0,1,0,1,0,1,0,0,2,Brazosview Healthcare Center,29.48,-95.68315,Fort Bend
132,0,0,0,0,0,1,0,0,0,0,0,0,Bremond Nursing and Rehabilitation Center,31.15492,-96.6554,Robertson
133,5,5,4,6,8,7,5,6,5,1,2,4,Brenham Nursing and Rehabilitation Center,30.21068,-96.40706,Washington
135,0,0,2,0,0,1,2,1,0,0,0,0,Brentwood Four,32.77001,-96.68728,Dallas
136,0,1,1,1,1,0,0,0,0,0,0,0,Brentwood Place I,32.77001,-96.68728,Dallas
137,1,0,0,0,0,0,0,1,0,0,0,0,Brentwood Place II,32.77001,-96.68728,Dallas
138,0,0,0,0,0,2,1,1,1,1,0,0,Brentwood Place III,32.77001,-96.68728,Dallas
139,6,2,4,2,6,7,12,4,4,6,4,5,Brentwood Terrace Healthcare And Rehabilitation Center,33.62385,-95.48378,Lamar
140,3,2,2,2,4,3,8,7,1,0,1,2,Briarcliff Health Center,32.32329,-95.30091,Smith
141,6,4,4,5,4,5,12,18,8,9,5,7,"Briarcliff Health Center of Greenville, Inc",33.184259999999995,-96.11951,Hunt
142,0,0,2,2,2,2,2,0,3,0,1,5,Briarcliff Nursing and Rehabilitation Center,26.21583,-98.23917,Hidalgo
143,3,5,5,6,6,5,5,9,6,6,3,3,Briarcliff Skilled Nursing Center,32.12895,-94.27705,Panola
145,5,4,5,6,2,5,3,5,2,2,4,3,Briarwood Nursing And Rehabilitation,29.65377,-95.28422,Harris
146,3,3,5,6,2,6,6,3,9,5,2,1,"Bridgecrest Rehabiliation Suites, LLC",29.83413,-95.14734,Harris
147,1,0,1,1,1,0,0,2,0,1,0,1,BRIDGECREST REHABILITATION SUITES,29.83413,-95.14734,Harris
148,12,1,3,0,2,0,2,0,2,0,2,0,Bridgemoor Transitional Care of Round Rock,30.48988,-97.75371,Williamson
149,3,1,2,1,3,2,4,2,5,2,3,4,Bridgemoor Transitional Care San Antonio,29.50555,-98.5722,Bexar
150,9,10,10,14,8,3,4,5,2,1,0,0,BRIDGEMOOR TRANSITIONAL CARE WEBSTER,29.53781,-95.13687,Harris
151,0,1,0,0,1,0,0,0,0,0,0,2,Brightpointe At Lytle Lake,32.33948,-99.66982,Taylor
152,16,16,17,21,21,22,20,20,12,11,3,5,BrightPointe at Rivershire,30.32957,-95.5141,Montgomery
155,17,14,14,12,8,14,7,16,4,7,7,8,Broadmoor Medical Lodge,32.85504,-96.42764,Rockwall
156,4,1,2,2,2,2,2,2,2,5,3,7,Brodie Ranch Nursing And Rehabilitation Center,30.16538,-97.82343,Travis
157,0,1,0,0,0,0,0,0,0,1,0,0,Bronte Health and Rehabilitation Center,31.86341,-100.28783,Coke
158,4,13,8,11,7,14,11,11,12,10,7,9,Brookdale Alamo Heights,29.48906,-98.45671,Bexar
159,17,14,31,19,15,14,18,17,7,7,6,6,BROOKDALE BROADWAY CITYVIEW,32.667590000000004,-97.41797,Tarrant
160,12,14,19,19,10,16,12,14,10,16,12,18,Brookdale Galleria,29.74833,-95.46803,Harris
161,1,6,2,6,4,7,4,8,4,6,2,7,Brookdale Guadalupe River Plaza,30.03422,-99.15819,Kerr
162,0,1,0,1,0,1,0,1,0,1,0,1,Brookdale Guadalupe River Plaza,30.03422,-99.15819,Kerr
163,15,7,7,6,5,4,3,6,7,8,5,11,Brookdale Lakeway Healthcare Center,30.37853,-97.94961,Travis
164,11,9,6,7,8,4,12,4,8,5,9,6,Brookdale Spicewood Springs,30.40268,-97.76105,Travis
165,8,6,11,5,8,4,5,6,8,8,6,5,Brookdale Trinity Towers,27.798140000000004,-97.40096,Nueces
166,23,7,11,5,10,11,14,12,14,9,11,13,Brookdale Westlake Hills,30.297290000000004,-97.81054,Travis
167,1,0,3,2,1,3,4,2,1,2,1,1,Brookdale Willowbrook Place,29.97776,-95.57315,Harris
168,17,21,36,21,35,35,22,23,21,30,22,27,Brookdale Willowbrook Place Skilled Nursing,29.97776,-95.57315,Harris
169,4,2,4,7,5,4,3,10,5,4,2,1,Brookhaven Nursing and Rehabilitation Center,33.034240000000004,-96.89672,Denton
170,2,6,10,6,6,6,6,7,7,10,9,7,Brookhollow Heights Transitional Care Center,29.7986,-95.41754,Harris
172,0,0,0,0,0,1,0,0,0,0,0,0,Brownfield Regional Medical Center,33.14437,-102.31614,Terry
173,0,0,1,1,0,3,1,0,2,1,0,1,Brownfield Rehabilitation and Care Center,33.14437,-102.31614,Terry
174,8,9,11,6,7,8,6,3,9,7,8,6,Brownsville Nursing and Rehabilitation Center,25.99101,-97.43946,Cameron
175,1,2,3,0,2,0,1,1,1,0,0,3,"Brownwood Nursing and Rehabilitation, LP",31.7425,-99.03991,Brown
178,2,0,1,0,1,0,1,0,1,0,1,0,Brush Country Nursing And Rehabilitation,30.21376,-97.85821,Travis
183,4,1,1,1,1,2,1,1,2,1,1,2,Buckner Villas,30.382040000000003,-97.67361,Travis
184,0,1,0,1,0,0,0,0,0,0,0,1,Buckner Westminister Place,32.58258,-94.72065,Gregg
185,2,0,3,3,5,8,10,4,2,2,4,3,Buena Vida Nursing And Rehabilitation Center,29.36614,-98.37786,Bexar
186,0,0,0,0,0,3,3,3,0,2,0,3,Buena Vida Nursing and Rehabilitation Center at Odessa,31.92649,-102.35443,Ector
188,4,0,6,0,3,0,0,1,3,1,1,2,Burleson Saint Joseph Manor,30.53745,-96.67998,Burleson
190,1,1,3,2,2,4,1,1,3,1,3,0,Calder Woods,30.09973,-94.17074,Jefferson
192,9,6,11,13,6,12,8,4,6,8,7,4,Cambridge Health and Rehabilitation Center,29.48,-95.68315,Fort Bend
193,1,0,0,2,1,1,0,1,0,0,1,1,Cameron Nursing and Rehabilitation Center,30.87611,-96.90748,Milam
195,10,10,12,7,11,10,6,7,4,3,5,2,Canton Oaks,32.51192,-95.88237,Van Zandt
199,3,2,4,0,3,3,1,1,2,1,3,0,Caprock Nursing and Rehabilitation Center,35.69979,-101.39788,Hutchinson
200,1,4,4,4,1,2,2,2,1,5,2,3,Capstone Healthcare Estates At Veterans Memorial,29.9186,-95.44169,Harris
201,5,2,5,4,2,0,1,0,0,2,3,9,Capstone Healthcare Estates on Orem,29.63571,-95.43306,Harris
202,2,1,1,2,0,1,2,1,2,2,0,1,CARADAY WESTERN HILLS,31.138070000000006,-97.37258,Bell
204,0,0,0,0,0,0,0,0,1,0,0,0,Care Choice Of Boerne,29.85533,-98.72266,Kendall
206,2,7,2,2,2,1,2,4,3,2,0,2,Care Inn of La Grange,29.91566,-96.88947,Fayette
209,0,0,2,2,3,4,1,1,1,1,2,1,Care Nursing and Rehabilitation Center,31.75327,-98.90283,Brown
211,5,6,8,6,9,10,4,9,2,4,6,8,Carillon House,33.60429,-101.97648,Lubbock
213,11,18,13,9,7,8,9,7,3,7,2,0,Carrara,33.0355,-96.81001,Collin
214,5,4,3,9,10,4,6,7,2,2,2,2,Carriage House Manor,33.16816,-95.60681,Hopkins
215,5,1,0,0,1,1,1,1,1,1,1,1,"Carrizo Springs Nursing and Rehabilitation, LP",28.46432,-99.92139,Dimmit
216,0,0,0,2,3,2,3,1,1,0,1,3,Carrollton Health And Rehabilitation Center,32.96188,-96.89701,Dallas
218,1,1,1,0,4,0,1,2,0,2,3,2,Carthage Healthcare Center,32.12895,-94.27705,Panola
220,0,3,3,2,1,2,6,2,3,3,1,2,Castle Pines Health and Rehabilitation Center,31.33969,-94.82173,Angelina
225,5,6,9,6,6,6,11,5,3,6,2,5,CC Young Retirement Community,32.82867,-96.74542,Dallas
226,0,0,0,0,0,0,1,0,0,0,2,2,Cedar Creek Nursing and Rehabilitation Center,29.70959,-99.09413,Bandera
229,1,0,0,0,0,0,0,1,1,1,0,0,Cedar Hill Healthcare Center,32.58039,-96.96618,Dallas
231,6,0,7,3,3,3,3,7,1,2,3,1,Cedar Lake Nursing Home,32.12462,-96.01216,Henderson
233,3,0,2,1,2,0,2,0,3,1,3,2,Cedar Pointe Health and Wellness Suites,30.50395,-97.82463,Williamson
234,0,0,2,1,0,0,1,1,2,0,0,1,Centerville Healthcare Center,31.26718,-95.83899,Leon
237,0,0,0,0,0,1,0,0,0,1,1,1,Central Texas Nursing and Rehabilitation,31.7387,-99.93626,Runnels
239,2,2,0,0,2,2,1,2,1,0,1,0,Chandler Nursing Center,32.275420000000004,-95.50733,Henderson
241,0,1,2,2,4,0,3,0,1,1,4,1,Chelsea Gardens,29.52569,-95.533,Fort Bend
242,2,2,0,1,0,2,1,3,0,0,1,4,Cherokee Rose Nursing and Rehabilitation,32.20528,-97.79713,Somervell
243,0,0,1,0,1,0,0,1,0,0,0,0,Cherokee Trails Rehab and Healthcare,31.77995,-95.17381,Cherokee
244,3,2,5,3,2,1,2,0,1,0,1,0,Cheyenne Medical Lodge,32.77003,-96.61487,Dallas
245,2,2,0,0,0,0,0,0,0,0,0,0,Chi Saint Joseph Health Burleson Hospital,30.53745,-96.67998,Burleson
246,2,1,0,0,1,1,4,0,0,0,0,0,Chi Saint Joseph Health Grimes Hospital,30.3686,-96.0616,Grimes
247,4,1,0,0,0,0,0,0,0,0,0,0,CHI Saint Joseph Skilled and Rehabilitation Center,30.66126,-96.32265,Brazos
249,0,0,0,0,0,1,1,0,0,1,1,1,Childress Healthcare Center,34.43714,-100.28085,Childress
250,0,0,3,0,0,0,0,0,0,0,0,1,Childress Regional Medical Center,34.43714,-100.28085,Childress
252,3,4,2,2,1,1,1,2,3,1,3,2,Chisolm Trail Nursing And Rehabilitation Center,29.870490000000004,-97.67528,Caldwell
253,4,1,0,2,1,2,1,3,0,3,1,3,Christian Care Center,33.37363,-94.13142,Bowie
254,11,11,12,7,5,6,7,9,2,3,5,6,Christian Care Nursing And Rehabilitation,32.81577,-96.63039,Dallas
255,0,0,0,0,1,0,0,0,0,0,0,0,CHRISTUS Jasper Memorial Hospital,30.94151,-94.05383,Jasper
256,0,1,1,1,0,1,1,0,0,0,0,0,Christus Mother Frances Hospital - Winnsboro,32.90938,-95.26235,Hopkins
257,2,2,5,5,3,2,4,4,0,0,0,0,Christus Mother Frances Hospital Jacksonville,31.9462,-95.25704,Cherokee
262,0,0,0,1,2,1,1,1,2,1,0,0,CHRISTUS Spohn Hospital Corpus Christi Memorial,27.77425,-97.43876,Nueces
263,0,0,0,0,1,0,1,0,0,0,0,0,CHRISTUS Spohn Hospital Corpus Christi Shoreline,27.76805,-97.39899,Nueces
267,2,5,4,3,2,1,5,4,4,8,4,3,Cibolo Creek,29.85533,-98.72266,Kendall
268,1,1,0,0,2,6,3,3,2,1,2,3,CIMARRON PARK NURSING AND REHABILITATION CENTER,31.89246,-106.54251,El Paso
269,3,5,3,1,2,2,3,6,3,7,3,5,Cimarron Place Health and Rehabilitation Center,27.6603,-97.36893,Nueces
270,0,1,1,1,3,4,1,1,1,0,3,0,Cisco Nursing And Rehabilitation,32.39591,-99.02367,Eastland
271,0,1,0,0,0,1,0,0,0,0,0,0,Citizens Medical Center Skilled Nursing Unit,28.80493,-96.98473,Victoria
272,2,0,3,2,1,2,3,3,2,4,2,3,Cityview Nursing And Rehabilitation Center,32.667590000000004,-97.41797,Tarrant
273,10,12,8,6,11,9,8,10,2,3,3,3,Clairmont of Beaumont,30.05295,-94.17654,Jefferson
274,0,1,2,4,1,1,1,1,1,1,2,1,Clarewood House,29.70167,-95.53594,Harris
275,2,5,5,4,3,4,7,6,7,3,3,4,Clarksville Nursing Center,33.655390000000004,-95.00488,Red River
276,0,0,0,0,0,1,0,0,1,0,1,0,Clay County Memorial Hospital,33.75812,-98.20162,Clay
278,2,2,2,1,3,1,0,2,3,2,1,3,Clear Brook Crossing Rehabilitation and Healthcare Center,29.58675,-95.22525,Harris
280,15,21,14,16,21,13,11,14,13,6,15,11,Cleveland Health Care Center,30.32154,-94.92631,Liberty
281,0,0,0,0,0,0,1,1,0,0,0,0,"Clifton Nursing and Rehabilitation Center, LP",31.80782,-97.56147,Bosque
282,1,0,1,1,0,1,0,0,0,0,0,0,Clyde Nursing Center,32.27507,-99.52899,Callahan
283,0,0,0,0,0,0,1,2,2,2,0,1,Clyde W Cosper Texas State Veterans Home,33.57268,-96.17766,Fannin
284,1,2,3,1,1,3,2,2,4,2,1,1,Coastal Palms Nursing And Rehabilitation,27.89798,-97.37805,San Patricio
285,1,0,1,0,1,0,1,0,1,0,1,0,Cogdell Memorial Hospital,32.91367,-100.84508,Scurry
288,0,0,0,0,0,0,1,0,0,0,0,0,Coleman County Medical Center,31.874370000000006,-99.47038,Coleman
289,0,0,0,0,0,0,1,1,0,1,1,2,Coleman Healthcare Center,31.874370000000006,-99.47038,Coleman
290,21,25,25,35,20,29,25,26,18,22,23,30,College Park Rehabilitation and Care Center,32.75481,-97.78995,Parker
291,0,2,1,1,4,1,0,3,0,0,0,1,College Street Nursing Center,30.05295,-94.17654,Jefferson
292,0,0,0,0,0,0,0,1,0,0,0,0,Collingsworth General Hospital,34.896159999999995,-100.2061,Collingsworth
293,0,2,1,1,3,2,3,0,0,1,0,0,Collinwood Nursing And Rehabilitation,33.0319,-96.67429,Collin
294,1,0,1,0,2,1,0,1,1,0,0,2,Colonial Belle Nursing Home,29.978790000000004,-96.25057,Austin
295,0,0,0,0,0,0,0,0,1,0,1,0,Colonial Belle Nursing Home Sealy,29.773770000000006,-96.17926,Austin
296,0,0,0,0,0,1,1,1,1,0,0,1,Colonial Care Center,29.68793,-96.93415,Fayette
298,6,6,12,9,8,8,6,9,9,8,7,4,Colonial Manor Advanced Rehab and Healthcare,26.15047,-98.19104,Hidalgo
299,0,1,1,1,0,2,0,2,2,4,1,1,Colonial Manor Nursing And Rehabilitation Center,29.69772,-98.0702,Comal
300,0,0,0,1,0,0,0,0,1,1,1,0,Colonial Manor Nursing Center,32.28511,-97.51137,Johnson
301,10,9,9,11,11,6,7,13,5,7,1,2,Colonial Nursing and Rehabilitation Center,32.5361,-95.43456,Smith
306,3,2,7,5,3,7,8,6,3,7,6,6,Colonial Pines Healthcare Center,31.49499,-94.12708,San Augustine
309,0,0,0,0,0,0,0,1,0,0,0,0,Columbus Community Hospital,29.69375,-96.56013,Colorado
311,1,2,1,0,0,0,0,0,0,0,0,0,Columbus Oaks Healthcare Community,29.69375,-96.56013,Colorado
312,0,0,2,0,0,1,1,3,0,0,0,0,Comanche County Medical Center,31.89183,-98.61491,Comanche
313,0,0,1,3,1,1,2,3,4,1,0,0,Community Care Center,31.2935,-95.49194,Houston
315,0,0,2,0,0,1,0,0,0,2,2,3,Community Care Center Of Hondo,29.4267,-99.15448,Medina
317,0,0,0,1,0,0,1,1,0,1,0,0,Concho County Hospital,31.2208,-99.89594,Concho
318,0,0,0,0,0,1,1,1,1,0,1,1,Concho Health and Rehabilitation Center,31.2208,-99.89594,Concho
320,6,7,11,16,17,14,14,19,14,7,8,14,Conroe Healthcare Center,30.307920000000006,-95.43426,Montgomery
321,2,6,6,4,6,3,1,5,5,8,5,4,Continuing Care At Highland Springs,32.99728,-96.79091,Collin
324,0,0,0,0,0,0,1,1,0,0,0,0,Coon Memorial Hospital,36.10661,-102.61108,Dallam
328,2,1,0,0,1,1,1,0,0,0,1,1,Copperas Cove Nursing and Rehabilitation,31.21606,-97.97338,Coryell
329,0,1,0,2,0,0,0,0,0,1,0,0,Copperas Hollow Nursing and Rehabilitation Center,30.53745,-96.67998,Burleson
330,9,11,8,11,9,5,6,12,15,2,5,6,Copperfield Healthcare and Rehabilitation,29.90819,-95.65323,Harris
331,5,4,10,10,7,10,6,5,5,10,6,2,Corinth Rehabilitation Suites on the Parkway,33.20883,-97.05736,Denton
332,1,0,1,2,3,1,2,1,0,1,0,0,Cornerstone Gardens Healthcare and Rehabilitation,31.09622,-97.41034,Bell
333,1,2,2,3,2,2,1,4,0,2,0,2,Cornerstone Retirement Community,33.51343,-94.13057,Bowie
334,14,12,15,12,10,9,9,16,13,9,7,4,Coronado at Stone Oak,29.6337,-98.49605,Bexar
335,0,0,2,1,0,0,1,0,0,0,0,0,Coronado Healthcare Center,35.54207,-100.89977,Gray
336,1,0,0,0,2,1,0,0,0,0,0,0,Coronado Nursing And Rehab,32.40153,-99.88473,Taylor
341,0,1,3,2,0,1,2,4,2,1,2,0,Corpus Christi Nursing and Rehabilitation Center,27.6603,-97.36893,Nueces
342,1,3,4,4,4,4,4,4,4,4,4,5,Corrigan LTC Nursing and Rehabilitation Center,31.01825,-94.79404,Polk
343,0,0,1,0,0,0,1,0,0,0,0,0,Coryell Memorial Healthcare System,31.42046,-97.76154,Coryell
344,2,1,4,4,3,4,5,4,3,4,4,5,Cottonwood Creek Healthcare Community,32.97395,-96.74203,Dallas
346,1,0,0,1,2,0,1,0,0,0,0,0,"Cottonwood Nursing and Rehabilitation, LP",33.22113,-97.14723,Denton
