PID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
41,1,0,0,0,0,0,0,1,1,0,0,4,Arbor Grace Wellness Center,1241 E MARSHALL HOWARD BLVD,,LITTLEFIELD,TX,79339,Lamb,79339.0,33.88987,-102.33544,Littlefield,TX,Texas,True,,6658.0,10.1,48279.0,Lamb,"{'48219':1.78,'48279':98.22}",Lamb|Hockley,48279|48219,False,False,America/Chicago
42,1,0,1,1,1,2,1,3,1,1,2,2,Arbor Terrace Healthcare Center,609 RIO CONCHO DR,,SAN ANGELO,TX,76903,Tom Green,76903.0,31.484820000000006,-100.43723,San Angelo,TX,Texas,True,,31749.0,462.7,48451.0,Tom Green,{'48451':100},Tom Green,48451,False,False,America/Chicago
43,2,1,1,0,1,0,0,0,0,0,0,1,Arboretum Nursing and Rehabilitation Center of Winnie,1215 STATE HIGHWAY 124,,WINNIE,TX,77665,Chambers,77665.0,29.81687,-94.41658,Winnie,TX,Texas,True,,6236.0,18.5,48071.0,Chambers,"{'48071':82.78,'48245':17.22}",Chambers|Jefferson,48071|48245,False,False,America/Chicago
45,15,10,10,12,13,14,10,11,6,5,4,5,Arbrook Plaza,401 W ARBROOK BLVD,,ARLINGTON,TX,76014,Tarrant,76014.0,32.69202,-97.08794,Arlington,TX,Texas,True,,36156.0,2284.7,48439.0,Tarrant,{'48439':100},Tarrant,48439,False,False,America/Chicago
46,0,0,0,0,0,0,0,0,0,0,0,1,Archer City Nursing Center,201 E CHESTNUT ST,,ARCHER CITY,TX,76351,Archer,76351.0,33.568909999999995,-98.67458,Archer City,TX,Texas,True,,2047.0,4.1,48009.0,Archer,{'48009':100},Archer,48009,False,False,America/Chicago
47,1,1,1,1,5,2,2,2,1,2,1,1,Arlington Heights Health and Rehabilitation Center,4825 WELLESLEY AVE,,FORT WORTH,TX,76107,Tarrant,76107.0,32.74171,-97.38196,Fort Worth,TX,Texas,True,,29851.0,931.1,48439.0,Tarrant,{'48439':100},Tarrant,48439,False,False,America/Chicago
48,0,0,0,0,2,0,1,2,3,2,1,1,Arlington Residence and Rehabilitation Center,405 DUNCAN PERRY RD,,ARLINGTON,TX,76011,Tarrant,76011.0,32.75425,-97.08254,Arlington,TX,Texas,True,,22640.0,1038.9,48439.0,Tarrant,{'48439':100},Tarrant,48439,False,False,America/Chicago
49,7,5,4,7,2,6,3,5,1,2,1,2,Arlington Villa Nursing Retirement Center,2601 W RANDOL MILL RD,,ARLINGTON,TX,76012,Tarrant,76012.0,32.75461,-97.13902,Arlington,TX,Texas,True,,26919.0,1214.1,48439.0,Tarrant,{'48439':100},Tarrant,48439,False,False,America/Chicago
50,0,0,0,0,2,2,1,0,0,2,0,0,Army Residence Community Health Care Center,7400 CRESTWAY RD,,SAN ANTONIO,TX,78239,Bexar,78239.0,29.5168,-98.363,San Antonio,TX,Texas,True,,29255.0,1670.8,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
52,5,3,4,1,5,3,4,4,7,6,6,3,Ashford Gardens,7210 NORTHLINE DR,,HOUSTON,TX,77076,Harris,77076.0,29.85962,-95.38351,Houston,TX,Texas,True,,34985.0,2734.1,48201.0,Harris,{'48201':100},Harris,48201,False,False,America/Chicago
53,0,0,1,0,2,0,0,0,0,0,0,1,Ashford Hall,2021 SHOAF DR,,IRVING,TX,75061,Dallas,75061.0,32.82602,-96.96544,Irving,TX,Texas,True,,54862.0,1783.8,48113.0,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
54,4,4,7,2,2,4,4,6,2,3,5,5,Ashton Medical Lodge,801 S LOOP 250 W,,MIDLAND,TX,79703,,79703.0,31.97945,-102.13231,Midland,TX,Texas,True,,23111.0,1187.6,48329.0,Midland,{'48329':100},Midland,48329,False,False,America/Chicago
55,5,4,4,4,3,2,2,2,2,2,1,0,Ashton Park Care Center,210 GULF FWY,,TEXAS CITY,TX,77591,Galveston,77591.0,29.39941,-94.99751,Texas City,TX,Texas,True,,14447.0,469.5,48167.0,Galveston,{'48167':100},Galveston,48167,False,False,America/Chicago
56,0,0,0,0,2,1,1,1,0,0,0,0,Athens Healthcare and Rehabilitation,305 S PALESTINE ST,,ATHENS,TX,75751,Henderson,75751.0,32.09642,-95.9083,Athens,TX,Texas,True,,16855.0,41.4,48213.0,Henderson,"{'48001':1.53,'48213':98.47}",Henderson|Anderson,48213|48001,False,False,America/Chicago
59,4,2,1,0,1,1,0,1,1,0,0,0,Austin Healthcare And Rehabilitation,3509 ROGGE LN,,AUSTIN,TX,78723,Travis,78723.0,30.30427,-97.6857,Austin,TX,Texas,True,,34569.0,1575.7,48453.0,Travis,{'48453':100},Travis,48453,False,False,America/Chicago
60,3,1,2,0,3,0,3,1,3,2,2,0,Austin Retirement and Nursing Center,6909 BURNET LN,,AUSTIN,TX,78757,Travis,78757.0,30.35158,-97.73252,Austin,TX,Texas,True,,24823.0,1673.7,48453.0,Travis,{'48453':100},Travis,48453,False,False,America/Chicago
61,6,4,4,2,2,2,2,2,4,1,3,1,AUSTIN WELLNESS AND REHABILITATION,11406 RUSTIC ROCK DR,,AUSTIN,TX,78750,Travis,78750.0,30.41828,-97.80246,Austin,TX,Texas,True,,30847.0,772.0,48453.0,Travis,"{'48453':54.01,'48491':45.99}",Travis|Williamson,48453|48491,False,False,America/Chicago
64,0,2,4,4,5,8,4,3,2,0,3,2,Autumn Leaves,1010 EMERALD ISLE DR,,DALLAS,TX,75218,Dallas,75218.0,32.84154,-96.70236,Dallas,TX,Texas,True,,21576.0,1197.1,48113.0,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
65,1,1,1,5,3,5,2,1,1,5,2,1,Autumn Leaves Nursing and Rehabilitation,321 KILGORE DR,,HENDERSON,TX,75652,Rusk,75652.0,32.229890000000005,-94.73272,Henderson,TX,Texas,True,,16946.0,36.6,48401.0,Rusk,{'48401':100},Rusk,48401,False,False,America/Chicago
66,0,0,0,1,0,0,0,0,0,0,0,0,Autumn Winds,3301 FARM RD 3009,,SCHERTZ,TX,78154,Guadalupe,78154.0,29.54622,-98.26628,Schertz,TX,Texas,True,,40085.0,356.4,48187.0,Guadalupe,"{'48029':18.74,'48091':0.37,'48187':80.89}",Guadalupe|Bexar|Comal,48187|48029|48091,False,False,America/Chicago
67,1,0,1,1,0,0,2,1,1,0,2,1,Avalon Place Kirbyville,700 N HERNDON AVE,,KIRBYVILLE,TX,75956,Jasper,75956.0,30.67771,-93.97824,Kirbyville,TX,Texas,True,,8510.0,12.1,48241.0,Jasper,"{'48241':91.89,'48351':8.11}",Jasper|Newton,48241|48351,False,False,America/Chicago
68,2,1,4,3,1,3,11,5,1,4,4,1,Avalon Place Trinity,808 S ROBB ST,,TRINITY,TX,75862,Trinity,75862.0,30.959840000000003,-95.32384,Trinity,TX,Texas,True,,10044.0,15.8,48455.0,Trinity,"{'48455':95.92,'48471':4.08}",Trinity|Walker,48455|48471,False,False,America/Chicago
69,0,1,2,4,1,3,3,1,3,0,2,0,Avalon Place Wharton,1405 VALHALLA DR,,WHARTON,TX,77488,Wharton,77488.0,29.30682,-96.09125,Wharton,TX,Texas,True,,14533.0,25.2,48481.0,Wharton,{'48481':100},Wharton,48481,False,False,America/Chicago
70,1,0,0,1,2,1,3,0,0,0,0,0,Avante Rehabilitation and Care Center,225 N SOWERS RD,,IRVING,TX,75061,Dallas,75061.0,32.82602,-96.96544,Irving,TX,Texas,True,,54862.0,1783.8,48113.0,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
72,1,1,0,5,3,3,3,4,0,1,1,0,Azalea Trail Nursing and Rehabilitation Center,411 SPRINGCREEK RD,,GRAND SALINE,TX,75140,Van Zandt,75140.0,32.64689,-95.69144,Grand Saline,TX,Texas,True,,7290.0,23.9,48467.0,Van Zandt,{'48467':100},Van Zandt,48467,False,False,America/Chicago
73,4,1,4,3,5,2,4,3,1,1,2,1,Azle Manor Health Care and Rehabilitation,721 DUNAWAY LN,,AZLE,TX,76020,Tarrant,76020.0,32.900040000000004,-97.56544,Azle,TX,Texas,True,,28207.0,159.5,48439.0,Tarrant,"{'48367':40.75,'48439':56.76,'48497':2.49}",Tarrant|Parker|Wise,48439|48367|48497,False,False,America/Chicago
74,0,0,1,1,0,2,0,0,0,0,0,0,Balch Springs Health and Rehabilitation,4200 SHEPHERD LN,,MESQUITE,TX,75180,Dallas,75180.0,32.71894,-96.61839,Balch Springs,TX,Texas,True,,23711.0,1160.4,48113.0,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
75,0,1,0,1,0,0,0,1,0,1,1,1,Ballinger Healthcare and Rehabilitation Center,2001 N 6TH ST,,BALLINGER,TX,76821,Runnels,76821.0,31.7387,-99.93626,Ballinger,TX,Texas,True,,4578.0,6.2,48399.0,Runnels,{'48399':100},Runnels,48399,False,False,America/Chicago
77,1,0,1,0,1,0,2,1,2,2,1,0,Bandera Nursing and Rehabilitation Center,222 FM 1077,,BANDERA,TX,78003,Bandera,78003.0,29.70959,-99.09413,Bandera,TX,Texas,True,,9539.0,14.9,48019.0,Bandera,"{'48019':97.54,'48325':2.46}",Bandera|Medina,48019|48325,False,False,America/Chicago
78,1,0,0,0,0,0,0,0,1,0,2,0,Bangs Nursing and Rehabilitation Center,1105 E FITZGERALD ST,,BANGS,TX,76823,Brown,76823.0,31.701190000000004,-99.15992,Bangs,TX,Texas,True,,2840.0,10.1,48049.0,Brown,"{'48049':98.74,'48083':1.26}",Brown|Coleman,48049|48083,False,False,America/Chicago
80,8,4,2,4,5,4,3,6,3,3,1,3,Bastrop Lost Pines Nursing and Rehabilitation Center,430 OLD AUSTIN HWY,,BASTROP,TX,78602,Bastrop,78602.0,30.12383,-97.3284,Bastrop,TX,Texas,True,,27958.0,50.2,48021.0,Bastrop,{'48021':100},Bastrop,48021,False,False,America/Chicago
81,1,0,2,1,0,3,3,2,3,2,0,2,Bastrop Nursing Center,400 OLD AUSTIN HWY,,BASTROP,TX,78602,Bastrop,78602.0,30.12383,-97.3284,Bastrop,TX,Texas,True,,27958.0,50.2,48021.0,Bastrop,{'48021':100},Bastrop,48021,False,False,America/Chicago
82,4,1,3,1,1,1,1,3,0,3,3,1,Bay Villa Healthcare Center,1800 13TH ST,,BAY CITY,TX,77414,Matagorda,77414.0,28.899590000000003,-95.88091,Bay City,TX,Texas,True,,23989.0,17.2,48321.0,Matagorda,{'48321':100},Matagorda,48321,False,False,America/Chicago
83,14,11,21,15,14,13,18,15,8,6,7,5,Baybrooke Village Care and Rehabilitation Center,8300 ELDORADO PKWY,,MCKINNEY,TX,75070,Collin,75070.0,33.17311,-96.69773,Mckinney,TX,Texas,True,,98219.0,1208.3,48085.0,Collin,{'48085':100},Collin,48085,False,False,America/Chicago
84,6,2,0,3,2,0,0,2,1,0,0,0,Baylor Scott And White Continuing Care Hospital,546 N KEGLEY RD,,TEMPLE,TX,76502,Bell,76502.0,31.09622,-97.41034,Temple,TX,Texas,True,,40622.0,193.5,48027.0,Bell,{'48027':100},Bell,48027,False,False,America/Chicago
90,4,4,6,6,4,3,4,5,4,4,2,3,Bayou Pines Care Center,4905 FLEMING ST,,LA MARQUE,TX,77568,Galveston,77568.0,29.36383,-94.97975,La Marque,TX,Texas,True,,15571.0,438.9,48167.0,Galveston,{'48167':100},Galveston,48167,False,False,America/Chicago
92,18,14,17,18,30,11,13,17,17,20,24,23,Baywind Village Skilled Nursing and Rehabilitation,411 ALABAMA AVE,,LEAGUE CITY,TX,77573,Galveston,77573.0,29.50205,-95.08652,League City,TX,Texas,True,,86926.0,916.9,48167.0,Galveston,{'48167':100},Galveston,48167,False,False,America/Chicago
93,2,5,2,2,5,2,1,1,2,2,2,4,Baywood Crossing Rehabilitation and Healthcare Center,5020 SPACE CENTER BLVD,,PASADENA,TX,77505,Harris,77505.0,29.64608,-95.13826,Pasadena,TX,Texas,True,,24022.0,980.0,48201.0,Harris,{'48201':100},Harris,48201,False,False,America/Chicago
94,1,8,4,9,9,15,6,11,5,4,4,3,Beacon Harbor Healthcare and Rehabilitation,6700 HERITAGE PKWY,,ROCKWALL,TX,75087,Rockwall,75087.0,32.941720000000004,-96.44993,Rockwall,TX,Texas,True,,33638.0,415.1,48397.0,Rockwall,"{'48085':0.58,'48397':99.42}",Rockwall|Collin,48397|48085,False,False,America/Chicago
95,15,9,15,9,14,7,10,16,7,12,8,7,Beacon Hill,3515 S PARK AVE,,DENISON,TX,75020,Grayson,75020.0,33.77167,-96.60413,Denison,TX,Texas,True,,22487.0,135.0,48181.0,Grayson,{'48181':100},Grayson,48181,False,False,America/Chicago
96,7,2,1,2,6,6,1,5,3,5,2,4,Beaumont Health Care Center,795 LINDBERGH DR,,BEAUMONT,TX,77707,Jefferson,77707.0,30.05295,-94.17654,Beaumont,TX,Texas,True,,18609.0,446.2,48245.0,Jefferson,{'48245':100},Jefferson,48245,False,False,America/Chicago
97,0,0,0,1,0,1,1,1,0,0,0,0,Beaumont Nursing and Rehabilitation,1175 DENTON ST,,BEAUMONT,TX,77707,Jefferson,77707.0,30.05295,-94.17654,Beaumont,TX,Texas,True,,18609.0,446.2,48245.0,Jefferson,{'48245':100},Jefferson,48245,False,False,America/Chicago
98,5,6,5,4,1,3,3,4,2,1,1,0,Bedford Wellness And Rehabilitation,2001 FOREST RIDGE DR,,BEDFORD,TX,76021,Tarrant,76021.0,32.85231,-97.13119,Bedford,TX,Texas,True,,35741.0,1793.8,48439.0,Tarrant,{'48439':100},Tarrant,48439,False,False,America/Chicago
99,6,2,3,2,1,1,4,3,3,4,3,3,Beechnut Manor,12777 BEECHNUT ST,,HOUSTON,TX,77072,Harris,77072.0,29.69962,-95.58504,Houston,TX,Texas,True,,61818.0,2971.8,48201.0,Harris,{'48201':100},Harris,48201,False,False,America/Chicago
100,14,8,11,3,5,4,8,5,7,6,5,10,Bel Air at Teravista,4105 TERAVISTA CLUB DR,,ROUND ROCK,TX,78665,Williamson,78665.0,30.54489,-97.64379,Round Rock,TX,Texas,True,,48362.0,740.7,48491.0,Williamson,{'48491':100},Williamson,48491,False,False,America/Chicago
104,1,1,2,0,0,0,0,0,0,0,0,0,Bellville Medical Center,44 N CUMMINGS ST,,BELLVILLE,TX,77418,Austin,77418.0,29.978790000000004,-96.25057,Bellville,TX,Texas,True,,10381.0,19.5,48015.0,Austin,{'48015':100},Austin,48015,False,False,America/Chicago
105,5,6,9,9,9,8,14,12,10,7,7,4,Belterra Health And Rehabilitation Center,2170 N LAKE FOREST DR,,MCKINNEY,TX,75071,Collin,75071.0,33.24664,-96.62898,Mckinney,TX,Texas,True,,52939.0,176.8,48085.0,Collin,{'48085':100},Collin,48085,False,False,America/Chicago
107,1,0,0,1,0,0,0,0,0,0,0,0,Benbrook Nursing and Rehabilitation Center,1000 MCKINLEY ST,,BENBROOK,TX,76126,Tarrant,76126.0,32.63383,-97.51234,Fort Worth,TX,Texas,True,,22825.0,117.8,48439.0,Tarrant,"{'48367':3.92,'48439':96.08}",Tarrant|Parker,48439|48367,False,False,America/Chicago
108,0,0,0,0,0,1,0,0,1,0,0,0,Bertram Nursing and Rehab Center,540 E STATE HIGHWAY 29,,BERTRAM,TX,78605,Burnet,78605.0,30.782190000000003,-98.04562,Bertram,TX,Texas,True,,6110.0,11.7,48053.0,Burnet,{'48053':100},Burnet,48053,False,False,America/Chicago
109,2,0,0,1,0,1,0,0,0,0,1,1,Big Bend Regional Medical Center,2600 N STATE HIGHWAY 118,,ALPINE,TX,79830,Brewster,79830.0,29.80008,-103.22466,Alpine,TX,Texas,True,,7883.0,1.5,48043.0,Brewster,{'48043':100},Brewster,48043,False,False,America/Chicago
111,1,0,0,1,1,2,1,1,0,1,4,0,Big Spring Center For Skilled Care,3701 WASSON RD,,BIG SPRING,TX,79720,Howard,79720.0,32.253640000000004,-101.47291,Big Spring,TX,Texas,True,,35357.0,14.3,48227.0,Howard,"{'48033':0.14,'48173':0.72,'48227':99.15}",Howard|Glasscock|Borden,48227|48173|48033,False,False,America/Chicago
112,0,0,0,0,0,0,2,0,1,0,0,1,"Birchwood Nursing and Rehabilitation, LP",110 HIGHWAY 64 W,,COOPER,TX,75432,Delta,75432.0,33.39603,-95.67444,Cooper,TX,Texas,True,,3509.0,12.1,48119.0,Delta,{'48119':100},Delta,48119,False,False,America/Chicago
114,3,3,4,7,3,2,3,7,3,4,4,3,Bishop Davies Nursing Center,2712 HURSTVIEW DR,,HURST,TX,76054,Tarrant,76054.0,32.85918,-97.17782,Hurst,TX,Texas,True,,12119.0,1195.3,48439.0,Tarrant,{'48439':100},Tarrant,48439,False,False,America/Chicago
115,6,3,8,6,9,4,8,4,6,4,7,5,Bivins Pointe,6600 KILLGORE DR,,AMARILLO,TX,79106,Potter,79106.0,35.20318,-101.89519,Amarillo,TX,Texas,True,,27015.0,1152.4,48375.0,Potter,"{'48375':87.85,'48381':12.15}",Potter|Randall,48375|48381,False,False,America/Chicago
116,0,0,2,2,1,1,1,1,0,0,0,0,Blanco Villa Nursing and Rehabilitation,8020 BLANCO RD,,SAN ANTONIO,TX,78216,Bexar,78216.0,29.53646,-98.4892,San Antonio,TX,Texas,True,,41765.0,1087.3,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
117,1,0,1,1,1,0,1,0,1,2,1,0,Blue Skies of Texas East,4917 RAVENSWOOD DR,,SAN ANTONIO,TX,78227,Bexar,78227.0,29.40626,-98.62941,San Antonio,TX,Texas,True,,49907.0,1288.3,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
118,0,1,0,1,0,1,0,1,0,1,0,1,Blue Skies of Texas West,5100 JOHN D RYAN BLVD,,SAN ANTONIO,TX,78245,Bexar,78245.0,29.40396,-98.73079,San Antonio,TX,Texas,True,,76177.0,656.8,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
119,0,1,1,0,0,0,0,0,0,0,1,1,Bluebonnet Nursing And Rehabilitation,696 FM 99,,KARNES CITY,TX,78118,Karnes,78118.0,28.88645,-97.95035,Karnes City,TX,Texas,True,,4057.0,8.5,48255.0,Karnes,"{'48255':99.77,'48297':0.23}",Karnes|Live Oak,48255|48297,False,False,America/Chicago
121,1,1,1,1,0,0,1,1,1,0,0,0,"Bonham Nursing and Rehabilitation, LP",709 W 5TH ST,,BONHAM,TX,75418,Fannin,75418.0,33.57268,-96.17766,Bonham,TX,Texas,True,,14376.0,39.8,48147.0,Fannin,{'48147':100},Fannin,48147,False,False,America/Chicago
122,17,25,31,29,32,23,16,26,9,8,4,8,BONNE VIE,8595 MEDICAL CENTER BLVD,,PORT ARTHUR,TX,77640,,77640.0,29.88111,-93.94104,Port Arthur,TX,Texas,True,,15796.0,169.0,48245.0,Jefferson,{'48245':100},Jefferson,48245,False,False,America/Chicago
