PID,patient_number_year,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,lat,lng,county_name,num_mins,num_hours,num_weeks,num_CC
25,102,8,9,20,9,10,4,5,10,5,9,13,13,Alta Vista Rehabilitation and Healthcare,25.95038,-97.32167,Cameron,22582.0,376.36666666666673,7.237820512820513,0.18094551282051285
27,8,1,0,1,0,2,0,1,1,1,0,1,0,Alvarado Meadows Nursing and Rehabilitation Center,32.41579,-97.20169,Johnson,1836.0,30.6,0.5884615384615385,0.014711538461538462
28,48,7,4,7,7,3,0,5,5,3,8,0,3,Amarillo Center for Skilled Care,35.203179999999996,-101.89519,Potter,14064.0,234.4,4.5076923076923086,0.11269230769230767
29,5,0,0,0,1,2,1,1,2,1,1,1,1,Ambrosio Guillen Texas State Veterans Home,31.90245,-106.41325,El Paso,1747.0,29.11666666666667,0.5599358974358974,0.013998397435897435
31,44,5,7,5,8,3,4,0,2,2,3,9,6,"Amistad Nursing Home and Rehabilitation Center, LLC",29.356640000000002,-99.87147,Uvalde,14164.0,236.06666666666663,4.53974358974359,0.11349358974358975
33,7,1,1,1,2,0,1,0,0,0,0,0,1,Anderson Nursing Center,32.64689,-95.69144,Van Zandt,2139.0,35.65,0.6855769230769231,0.017139423076923076
35,4,0,0,0,0,0,3,1,0,0,0,0,0,Anson General Hospital,32.74484,-99.90508,Jones,1194.0,19.9,0.3826923076923077,0.009567307692307693
37,2,0,0,0,0,1,0,0,0,0,0,1,0,Apex Secure Care Brownfield,33.14437,-102.31614,Terry,498.0,8.3,0.15961538461538466,0.003990384615384615
38,11,0,0,0,2,0,0,1,3,4,2,2,2,Arbor Grace Of Kilgore,32.383990000000004,-94.87015,Gregg,3133.0,52.21666666666667,1.0041666666666669,0.02510416666666667
41,7,1,0,0,0,0,0,0,1,1,0,0,4,Arbor Grace Wellness Center,33.88987,-102.33544,Lamb,2139.0,35.65,0.6855769230769231,0.017139423076923076
42,16,1,0,1,1,1,2,1,3,1,1,2,2,Arbor Terrace Healthcare Center,31.48482000000001,-100.43723,Tom Green,4314.0,71.9,1.382692307692308,0.034567307692307696
43,6,2,1,1,0,1,0,0,0,0,0,0,1,Arboretum Nursing and Rehabilitation Center of Winnie,29.81687,-94.41658000000001,Chambers,1494.0,24.9,0.4788461538461538,0.011971153846153843
45,100,15,10,10,12,13,14,10,11,6,5,4,5,Arbrook Plaza,32.69202,-97.08794,Tarrant,27286.0,454.76666666666665,8.74551282051282,0.2186378205128205
46,1,0,0,0,0,0,0,0,0,0,0,0,1,Archer City Nursing Center,33.568909999999995,-98.67458,Archer,315.0,5.25,0.10096153846153846,0.0025240384615384612
47,19,1,1,1,1,5,2,2,2,1,2,1,1,Arlington Heights Health and Rehabilitation Center,32.74171,-97.38195999999999,Tarrant,3669.0,61.15,1.1759615384615385,0.029399038461538463
48,5,0,0,0,0,2,0,1,2,3,2,1,1,Arlington Residence and Rehabilitation Center,32.75425,-97.08254000000001,Tarrant,2015.0,33.583333333333336,0.6458333333333334,0.01614583333333334
49,36,7,5,4,7,2,6,3,5,1,2,1,2,Arlington Villa Nursing Retirement Center,32.75461,-97.13902,Tarrant,11498.0,191.63333333333333,3.68525641025641,0.09213141025641024
50,5,0,0,0,0,2,2,1,0,0,2,0,0,Army Residence Community Health Care Center,29.5168,-98.363,Bexar,963.0,16.05,0.30865384615384617,0.007716346153846154
52,46,5,3,4,1,5,3,4,4,7,6,6,3,Ashford Gardens,29.85962,-95.38351,Harris,12740.0,212.33333333333331,4.083333333333334,0.10208333333333336
53,4,0,0,1,0,2,0,0,0,0,0,0,1,Ashford Hall,32.82602,-96.96544,Dallas,798.0,13.3,0.2557692307692308,0.00639423076923077
54,43,4,4,7,2,2,4,4,6,2,3,5,5,Ashton Medical Lodge,31.97945,-102.13231,Midland,12885.0,214.75,4.1298076923076925,0.10324519230769233
55,14,5,4,4,4,3,2,2,2,2,2,1,0,Ashton Park Care Center,29.399409999999996,-94.99750999999999,Galveston,4138.0,68.96666666666667,1.3262820512820512,0.03315705128205128
56,3,0,0,0,0,2,1,1,1,0,0,0,0,Athens Healthcare and Rehabilitation,32.09642,-95.9083,Henderson,1539.0,25.65,0.4932692307692307,0.012331730769230768
59,11,4,2,1,0,1,1,0,1,1,0,0,0,Austin Healthcare And Rehabilitation,30.304270000000002,-97.6857,Travis,3399.0,56.65,1.0894230769230768,0.027235576923076918
60,19,3,1,2,0,3,0,3,1,3,2,2,0,Austin Retirement and Nursing Center,30.35158,-97.73252,Travis,3741.0,62.35,1.1990384615384615,0.029975961538461538
61,26,6,4,4,2,2,2,2,2,4,1,3,1,AUSTIN WELLNESS AND REHABILITATION,30.41828,-97.80246,Travis,6714.0,111.9,2.151923076923077,0.05379807692307692
64,30,0,2,4,4,5,8,4,3,2,0,3,2,Autumn Leaves,32.84154,-96.70236,Dallas,9316.0,155.26666666666668,2.985897435897436,0.0746474358974359
65,26,1,1,1,5,3,5,2,1,1,5,2,1,Autumn Leaves Nursing and Rehabilitation,32.229890000000005,-94.73272,Rusk,7888.0,131.46666666666667,2.528205128205128,0.0632051282051282
66,1,0,0,0,1,0,0,0,0,0,0,0,0,Autumn Winds,29.54622,-98.26628000000001,Guadalupe,117.0,1.95,0.0375,0.0009375
67,10,1,0,1,1,0,0,2,1,1,0,2,1,Avalon Place Kirbyville,30.677709999999998,-93.97824,Jasper,2886.0,48.1,0.925,0.023125
68,34,2,1,4,3,1,3,11,5,1,4,4,1,Avalon Place Trinity,30.959840000000003,-95.32384,Trinity,9890.0,164.83333333333334,3.169871794871795,0.07924679487179488
69,16,0,1,2,4,1,3,3,1,3,0,2,0,Avalon Place Wharton,29.306820000000002,-96.09125,Wharton,5304.0,88.4,1.7000000000000002,0.0425
70,8,1,0,0,1,2,1,3,0,0,0,0,0,Avante Rehabilitation and Care Center,32.82602,-96.96544,Dallas,2256.0,37.6,0.7230769230769231,0.01807692307692308
72,19,1,1,0,5,3,3,3,4,0,1,1,0,Azalea Trail Nursing and Rehabilitation Center,32.64689,-95.69144,Van Zandt,6183.0,103.05,1.981730769230769,0.04954326923076922
73,18,4,1,4,3,5,2,4,3,1,1,2,1,Azle Manor Health Care and Rehabilitation,32.900040000000004,-97.56544,Tarrant,6410.0,106.83333333333331,2.0544871794871797,0.051362179487179485
74,4,0,0,1,1,0,2,0,0,0,0,0,0,Balch Springs Health and Rehabilitation,32.71894,-96.61839,Dallas,1194.0,19.9,0.3826923076923077,0.009567307692307693
75,6,0,1,0,1,0,0,0,1,0,1,1,1,Ballinger Healthcare and Rehabilitation Center,31.7387,-99.93626,Runnels,1758.0,29.3,0.5634615384615385,0.01408653846153846
77,11,1,0,1,0,1,0,2,1,2,2,1,0,Bandera Nursing and Rehabilitation Center,29.709590000000002,-99.09413,Bandera,1807.0,30.11666666666667,0.5791666666666667,0.014479166666666668
78,4,1,0,0,0,0,0,0,0,1,0,2,0,Bangs Nursing and Rehabilitation Center,31.701190000000004,-99.15992,Brown,1062.0,17.7,0.3403846153846154,0.008509615384615385
80,38,8,4,2,4,5,4,3,6,3,3,1,3,Bastrop Lost Pines Nursing and Rehabilitation Center,30.123829999999998,-97.3284,Bastrop,11496.0,191.6,3.684615384615384,0.0921153846153846
81,16,1,0,2,1,0,3,3,2,3,2,0,2,Bastrop Nursing Center,30.123829999999998,-97.3284,Bastrop,5106.0,85.1,1.6365384615384615,0.04091346153846154
82,21,4,1,3,1,1,1,1,3,0,3,3,1,Bay Villa Healthcare Center,28.899590000000003,-95.88091,Matagorda,5823.0,97.05,1.8663461538461537,0.04665865384615385
83,120,14,11,21,15,14,13,18,15,8,6,7,5,Baybrooke Village Care and Rehabilitation Center,33.17311,-96.69773,Collin,32536.0,542.2666666666668,10.428205128205127,0.2607051282051282
84,16,6,2,0,3,2,0,0,2,1,0,0,0,Baylor Scott And White Continuing Care Hospital,31.096220000000002,-97.41034,Bell,4182.0,69.7,1.3403846153846155,0.03350961538461539
90,28,4,4,6,6,4,3,4,5,4,4,2,3,Bayou Pines Care Center,29.36383,-94.97975,Galveston,8466.0,141.1,2.713461538461538,0.06783653846153845
92,192,18,14,17,18,30,11,13,17,17,20,24,23,Baywind Village Skilled Nursing and Rehabilitation,29.50205,-95.08652,Galveston,54352.0,905.8666666666667,17.42051282051282,0.4355128205128205
93,21,2,5,2,2,5,2,1,1,2,2,2,4,Baywood Crossing Rehabilitation and Healthcare Center,29.646079999999998,-95.13826,Harris,5885.0,98.08333333333331,1.886217948717949,0.04715544871794872
94,63,1,8,4,9,9,15,6,11,5,4,4,3,Beacon Harbor Healthcare and Rehabilitation,32.941720000000004,-96.44993000000001,Rockwall,20191.0,336.51666666666665,6.4714743589743575,0.16178685897435896
95,117,15,9,15,9,14,7,10,16,7,12,8,7,Beacon Hill,33.77167,-96.60413,Grayson,35715.0,595.25,11.447115384615385,0.2861778846153846
96,43,7,2,1,2,6,6,1,5,3,5,2,4,Beaumont Health Care Center,30.05295,-94.17654,Jefferson,12291.0,204.85,3.9394230769230765,0.09848557692307693
97,3,0,0,0,1,0,1,1,1,0,0,0,0,Beaumont Nursing and Rehabilitation,30.05295,-94.17654,Jefferson,941.0,15.683333333333335,0.3016025641025641,0.007540064102564101
98,25,5,6,5,4,1,3,3,4,2,1,1,0,Bedford Wellness And Rehabilitation,32.852309999999996,-97.13119,Tarrant,7917.0,131.95,2.5375,0.0634375
99,25,6,2,3,2,1,1,4,3,3,4,3,3,Beechnut Manor,29.69962,-95.58504,Harris,5423.0,90.38333333333334,1.7381410256410257,0.043453525641025635
100,84,14,8,11,3,5,4,8,5,7,6,5,10,Bel Air at Teravista,30.544890000000002,-97.64379,Williamson,23886.0,398.1,7.655769230769231,0.1913942307692308
104,3,1,1,2,0,0,0,0,0,0,0,0,0,Bellville Medical Center,29.978790000000004,-96.25057,Austin,1077.0,17.95,0.3451923076923077,0.008629807692307692
105,51,5,6,9,9,9,8,14,12,10,7,7,4,Belterra Health And Rehabilitation Center,33.24664,-96.62898,Collin,15899.0,264.98333333333335,5.095833333333333,0.12739583333333332
107,2,1,0,0,1,0,0,0,0,0,0,0,0,Benbrook Nursing and Rehabilitation Center,32.633829999999996,-97.51234000000001,Tarrant,696.0,11.6,0.22307692307692306,0.005576923076923077
108,2,0,0,0,0,0,1,0,0,1,0,0,0,Bertram Nursing and Rehab Center,30.782190000000003,-98.04562,Burnet,564.0,9.4,0.1807692307692308,0.0045192307692307684
109,6,2,0,0,1,0,1,0,0,0,0,1,1,Big Bend Regional Medical Center,29.800079999999998,-103.22466,Brewster,1560.0,26.0,0.5,0.0125
111,12,1,0,0,1,1,2,1,1,0,1,4,0,Big Spring Center For Skilled Care,32.253640000000004,-101.47291,Howard,3318.0,55.3,1.0634615384615385,0.02658653846153846
112,4,0,0,0,0,0,0,2,0,1,0,0,1,"Birchwood Nursing and Rehabilitation, LP",33.396029999999996,-95.67444,Delta,890.0,14.833333333333336,0.28525641025641024,0.007131410256410256
114,28,3,3,4,7,3,2,3,7,3,4,4,3,Bishop Davies Nursing Center,32.85918,-97.17782,Tarrant,8774.0,146.23333333333332,2.812179487179487,0.07030448717948717
115,67,6,3,8,6,9,4,8,4,6,4,7,5,Bivins Pointe,35.203179999999996,-101.89519,Potter,19323.0,322.05,6.193269230769231,0.1548317307692308
116,4,0,0,2,2,1,1,1,1,0,0,0,0,Blanco Villa Nursing and Rehabilitation,29.536459999999998,-98.4892,Bexar,1196.0,19.933333333333334,0.38333333333333336,0.009583333333333334
117,9,1,0,1,1,1,0,1,0,1,2,1,0,Blue Skies of Texas East,29.406259999999996,-98.62941,Bexar,1305.0,21.75,0.4182692307692308,0.01045673076923077
118,6,0,1,0,1,0,1,0,1,0,1,0,1,Blue Skies of Texas West,29.403959999999998,-98.73079,Bexar,666.0,11.1,0.21346153846153845,0.005336538461538461
119,4,0,1,1,0,0,0,0,0,0,0,1,1,Bluebonnet Nursing And Rehabilitation,28.88645,-97.95035,Karnes,1296.0,21.6,0.4153846153846154,0.010384615384615384
121,4,1,1,1,1,0,0,1,1,1,0,0,0,"Bonham Nursing and Rehabilitation, LP",33.57268,-96.17766,Fannin,2052.0,34.2,0.6576923076923078,0.016442307692307694
122,204,17,25,31,29,32,23,16,26,9,8,4,8,BONNE VIE,29.881109999999996,-93.94104,Jefferson,61172.0,1019.5333333333333,19.606410256410253,0.4901602564102564
123,7,3,1,1,0,1,0,0,0,1,0,0,0,Bonner Street Plaza Healthcare and Rehabilitation,31.9462,-95.25704,Cherokee,1743.0,29.05,0.5586538461538462,0.013966346153846154
124,5,2,2,2,0,0,0,0,0,0,1,0,0,Borger Healthcare Center,35.69979,-101.39788,Hutchinson,1707.0,28.45,0.5471153846153846,0.013677884615384614
126,3,0,1,0,0,1,0,0,0,0,1,0,0,Brady West Rehabilitation and Nursing Center,31.104740000000003,-99.39545,McCulloch,1077.0,17.95,0.3451923076923077,0.008629807692307692
127,2,1,0,0,0,1,0,0,0,0,0,0,0,Brazos at Waco,31.514409999999998,-97.15333000000001,McLennan,564.0,9.4,0.1807692307692308,0.0045192307692307684
128,14,1,1,1,3,0,0,4,3,1,0,1,1,Brazos Towers At Bayou Manor,29.686609999999998,-95.43499,Harris,4276.0,71.26666666666667,1.3705128205128203,0.03426282051282052
129,3,0,0,0,1,1,0,0,0,0,0,0,1,Brazos Valley Care Homebrazos Valley Nursing And Rehabilitation Center,33.43853,-99.8473,Knox,945.0,15.75,0.30288461538461536,0.007572115384615385
131,6,1,0,0,0,1,0,1,0,1,0,0,2,Brazosview Healthcare Center,29.48,-95.68315,Fort Bend,1626.0,27.1,0.5211538461538462,0.013028846153846156
132,1,0,0,0,0,0,1,0,0,0,0,0,0,Bremond Nursing and Rehabilitation Center,31.15492,-96.6554,Robertson,183.0,3.05,0.05865384615384616,0.0014663461538461538
133,49,5,5,4,6,8,7,5,6,5,1,2,4,Brenham Nursing and Rehabilitation Center,30.21068,-96.40706,Washington,16095.0,268.25,5.158653846153847,0.12896634615384614
136,1,0,1,1,1,1,0,0,0,0,0,0,0,Brentwood Place I,32.77001,-96.68728,Dallas,485.0,8.083333333333334,0.15544871794871795,0.0038862179487179492
137,2,1,0,0,0,0,0,0,1,0,0,0,0,Brentwood Place II,32.77001,-96.68728,Dallas,630.0,10.5,0.20192307692307693,0.0050480769230769225
138,10,0,0,2,0,0,3,3,2,1,1,0,0,Brentwood Place III,32.77001,-96.68728,Dallas,3122.0,52.03333333333333,1.0006410256410256,0.02501602564102564
139,57,6,2,4,2,6,7,12,4,4,6,4,5,Brentwood Terrace Healthcare And Rehabilitation Center,33.62385,-95.48378000000001,Lamar,13381.0,223.01666666666668,4.288782051282052,0.1072195512820513
140,29,3,2,2,2,4,3,8,7,1,0,1,2,Briarcliff Health Center,32.32329,-95.30091,Smith,7637.0,127.28333333333332,2.44775641025641,0.061193910256410265
141,63,6,4,4,5,4,5,12,18,8,9,5,7,"Briarcliff Health Center of Greenville, Inc",33.184259999999995,-96.11950999999999,Hunt,20677.0,344.61666666666673,6.62724358974359,0.16568108974358975
142,17,0,0,2,2,2,2,2,0,3,0,1,5,Briarcliff Nursing and Rehabilitation Center,26.21583,-98.23917,Hidalgo,4607.0,76.78333333333333,1.476602564102564,0.0369150641025641
143,50,3,5,5,6,6,5,5,9,6,6,3,3,Briarcliff Skilled Nursing Center,32.12895,-94.27705,Panola,15556.0,259.26666666666665,4.985897435897437,0.1246474358974359
145,42,5,4,5,6,2,5,3,5,2,2,4,3,Briarwood Nursing And Rehabilitation,29.65377,-95.28421999999999,Harris,12076.0,201.26666666666668,3.870512820512821,0.09676282051282052
146,43,4,3,6,7,3,6,6,5,9,6,2,2,"Bridgecrest Rehabiliation Suites, LLC",29.83413,-95.14734,Harris,11565.0,192.75,3.7067307692307687,0.09266826923076923
148,23,12,1,3,0,2,0,2,0,2,0,2,0,Bridgemoor Transitional Care of Round Rock,30.48988,-97.75371,Williamson,3921.0,65.35,1.2567307692307692,0.03141826923076923
149,27,3,1,2,1,3,2,4,2,5,2,3,4,Bridgemoor Transitional Care San Antonio,29.50555,-98.5722,Bexar,4463.0,74.38333333333334,1.430448717948718,0.03576121794871795
150,55,9,10,10,14,8,3,4,5,2,1,0,0,BRIDGEMOOR TRANSITIONAL CARE WEBSTER,29.537809999999997,-95.13687,Harris,13667.0,227.78333333333333,4.380448717948718,0.10951121794871796
151,4,0,1,0,0,1,0,0,0,0,0,0,2,Brightpointe At Lytle Lake,32.33948,-99.66982,Taylor,1260.0,21.0,0.40384615384615385,0.010096153846153848
152,159,16,16,17,21,21,22,20,20,12,11,3,5,BrightPointe at Rivershire,30.32957,-95.5141,Montgomery,43063.0,717.7166666666667,13.80224358974359,0.34505608974358976
155,117,17,14,14,12,8,14,7,16,4,7,7,8,Broadmoor Medical Lodge,32.85504,-96.42764,Rockwall,29525.0,492.08333333333326,9.463141025641026,0.23657852564102566
156,18,4,1,2,2,2,2,2,2,2,5,3,7,Brodie Ranch Nursing And Rehabilitation Center,30.16538,-97.82343,Travis,6702.0,111.7,2.148076923076923,0.053701923076923085
157,2,0,1,0,0,0,0,0,0,0,1,0,0,Bronte Health and Rehabilitation Center,31.86341,-100.28783,Coke,564.0,9.4,0.1807692307692308,0.0045192307692307684
158,98,4,13,8,11,7,14,11,11,12,10,7,9,Brookdale Alamo Heights,29.48906,-98.45671,Bexar,20114.0,335.23333333333335,6.446794871794872,0.1611698717948718
159,155,17,14,31,19,15,14,18,17,7,7,6,6,BROOKDALE BROADWAY CITYVIEW,32.667590000000004,-97.41797,Tarrant,42471.0,707.85,13.6125,0.3403125
160,157,12,14,19,19,10,16,12,14,10,16,12,18,Brookdale Galleria,29.74833,-95.46803,Harris,45797.0,763.2833333333333,14.67852564102564,0.366963141025641
161,56,1,6,2,6,4,7,4,8,4,6,2,7,Brookdale Guadalupe River Plaza,30.03422,-99.15819,Kerr,8170.0,136.16666666666666,2.618589743589744,0.0654647435897436
162,6,0,1,0,1,0,1,0,1,0,1,0,1,Brookdale Guadalupe River Plaza,30.03422,-99.15819,Kerr,666.0,11.1,0.21346153846153845,0.005336538461538461
163,80,15,7,7,6,5,4,3,6,7,8,5,11,Brookdale Lakeway Healthcare Center,30.378529999999998,-97.94960999999999,Travis,19956.0,332.6,6.396153846153847,0.15990384615384615
164,70,11,9,6,7,8,4,12,4,8,5,9,6,Brookdale Spicewood Springs,30.40268,-97.76105,Travis,17010.0,283.5,5.4519230769230775,0.1362980769230769
165,74,8,6,11,5,8,4,5,6,8,8,6,5,Brookdale Trinity Towers,27.798140000000004,-97.40096,Nueces,21264.0,354.4,6.815384615384616,0.17038461538461538
166,125,23,7,11,5,10,11,14,12,14,9,11,13,Brookdale Westlake Hills,30.297290000000004,-97.81054,Travis,30681.0,511.35,9.833653846153847,0.24584134615384615
167,11,1,0,3,2,1,3,4,2,1,2,1,1,Brookdale Willowbrook Place,29.977759999999996,-95.57315,Harris,3611.0,60.18333333333333,1.1573717948717948,0.028934294871794868
168,292,17,21,36,21,35,35,22,23,21,30,22,27,Brookdale Willowbrook Place Skilled Nursing,29.977759999999996,-95.57315,Harris,83888.0,1398.1333333333334,26.887179487179488,0.6721794871794872
169,31,4,2,4,7,5,4,3,10,5,4,2,1,Brookhaven Nursing and Rehabilitation Center,33.034240000000004,-96.89672,Denton,10927.0,182.11666666666667,3.50224358974359,0.08755608974358975
170,79,2,6,10,6,6,6,6,7,7,10,9,7,Brookhollow Heights Transitional Care Center,29.7986,-95.41754,Harris,22933.0,382.2166666666666,7.350320512820513,0.1837580128205128
172,1,0,0,0,0,0,1,0,0,0,0,0,0,Brownfield Regional Medical Center,33.14437,-102.31614,Terry,315.0,5.25,0.10096153846153846,0.0025240384615384612
173,10,0,0,1,1,0,3,1,0,2,1,0,1,Brownfield Rehabilitation and Care Center,33.14437,-102.31614,Terry,2820.0,47.0,0.903846153846154,0.022596153846153846
174,69,8,9,11,6,7,8,6,3,9,7,8,6,Brownsville Nursing and Rehabilitation Center,25.99101,-97.43946,Cameron,12871.0,214.51666666666668,4.1253205128205135,0.10313301282051283
175,11,1,2,3,0,2,0,1,1,1,0,0,3,"Brownwood Nursing and Rehabilitation, LP",31.7425,-99.03990999999999,Brown,3567.0,59.45,1.143269230769231,0.02858173076923077
178,7,2,0,1,0,1,0,1,0,1,0,1,0,Brush Country Nursing And Rehabilitation,30.213759999999997,-97.85821,Travis,1251.0,20.85,0.4009615384615385,0.010024038461538464
183,12,4,1,1,1,1,2,1,1,2,1,1,2,Buckner Villas,30.382040000000003,-97.67361,Travis,3444.0,57.4,1.1038461538461541,0.027596153846153847
184,3,0,1,0,1,0,0,0,0,0,0,0,1,Buckner Westminister Place,32.58258,-94.72065,Gregg,575.0,9.583333333333334,0.1842948717948718,0.004607371794871795
185,41,2,0,3,3,5,8,10,4,2,2,4,3,Buena Vida Nursing And Rehabilitation Center,29.36614,-98.37786,Bexar,6903.0,115.05,2.2125,0.0553125
186,14,0,0,0,0,0,3,3,3,0,2,0,3,Buena Vida Nursing and Rehabilitation Center at Odessa,31.92649,-102.35443000000001,Ector,4080.0,68.0,1.3076923076923077,0.032692307692307694
188,20,4,0,6,0,3,0,0,1,3,1,1,2,Burleson Saint Joseph Manor,30.53745,-96.67998,Burleson,5640.0,94.0,1.807692307692308,0.045192307692307684
190,20,1,1,3,2,2,4,1,1,3,1,3,0,Calder Woods,30.099729999999997,-94.17074000000001,Jefferson,5904.0,98.4,1.8923076923076925,0.04730769230769232
192,91,9,6,11,13,6,12,8,4,6,8,7,4,Cambridge Health and Rehabilitation Center,29.48,-95.68315,Fort Bend,27081.0,451.35,8.679807692307692,0.21699519230769232
193,8,1,0,0,2,1,1,0,1,0,0,1,1,Cameron Nursing and Rehabilitation Center,30.876109999999997,-96.90748,Milam,2058.0,34.3,0.6596153846153846,0.016490384615384615
195,77,10,10,12,7,11,10,6,7,4,3,5,2,Canton Oaks,32.51192,-95.88237,Van Zandt,22593.0,376.55,7.241346153846153,0.18103365384615386
199,22,3,2,4,0,3,3,1,1,2,1,3,0,Caprock Nursing and Rehabilitation Center,35.69979,-101.39788,Hutchinson,6006.0,100.1,1.925,0.048125
200,28,1,4,4,4,1,2,2,2,1,5,2,3,Capstone Healthcare Estates At Veterans Memorial,29.9186,-95.44169000000001,Harris,8028.0,133.8,2.5730769230769237,0.06432692307692309
201,31,5,2,5,4,2,0,1,0,0,2,3,9,Capstone Healthcare Estates on Orem,29.635709999999996,-95.43306,Harris,8907.0,148.45,2.854807692307692,0.0713701923076923
202,14,2,1,1,2,0,1,2,1,2,2,0,1,CARADAY WESTERN HILLS,31.13807000000001,-97.37258,Bell,4080.0,68.0,1.3076923076923077,0.032692307692307694
204,1,0,0,0,0,0,0,0,0,1,0,0,0,Care Choice Of Boerne,29.85533,-98.72266,Kendall,77.0,1.2833333333333334,0.024679487179487185,0.0006169871794871795
206,22,2,7,2,2,2,1,2,4,3,2,0,2,Care Inn of La Grange,29.91566,-96.88946999999999,Fayette,8118.0,135.3,2.601923076923077,0.06504807692307693
209,18,0,0,2,2,3,4,1,1,1,1,2,1,Care Nursing and Rehabilitation Center,31.75327,-98.90283000000001,Brown,4746.0,79.1,1.521153846153846,0.03802884615384615
211,67,5,6,8,6,9,10,4,9,2,4,6,8,Carillon House,33.60429,-101.97648000000001,Lubbock,17055.0,284.25,5.466346153846153,0.13665865384615386
213,80,11,18,13,9,7,8,9,7,3,7,2,0,Carrara,33.0355,-96.81000999999999,Collin,20574.0,342.9,6.5942307692307685,0.16485576923076922
214,51,5,4,3,9,10,4,6,7,2,2,2,2,Carriage House Manor,33.16816,-95.60681,Hopkins,15041.0,250.6833333333333,4.820833333333334,0.12052083333333335
215,12,5,1,0,0,1,1,1,1,1,1,1,1,"Carrizo Springs Nursing and Rehabilitation, LP",28.46432,-99.92139,Dimmit,3516.0,58.6,1.1269230769230771,0.02817307692307692
216,11,0,0,0,2,3,2,3,1,1,0,1,3,Carrollton Health And Rehabilitation Center,32.96188,-96.89701,Dallas,3343.0,55.71666666666667,1.071474358974359,0.02678685897435897
218,17,1,1,1,0,4,0,1,2,0,2,3,2,Carthage Healthcare Center,32.12895,-94.27705,Panola,4459.0,74.31666666666666,1.4291666666666667,0.03572916666666666
220,23,0,3,3,2,1,2,6,2,3,3,1,2,Castle Pines Health and Rehabilitation Center,31.33969,-94.82173,Angelina,6441.0,107.35,2.064423076923077,0.051610576923076926
225,62,5,6,9,6,6,6,11,5,3,6,2,5,CC Young Retirement Community,32.82867,-96.74542,Dallas,15950.0,265.8333333333333,5.112179487179487,0.12780448717948714
